"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Alicia Moulton","5.0 out of 5 stars","July 10, 2019","I love my guitar!  I bought this guitar a year ago after deciding on a whim that I wanted to learn guitar but not wanting to spend too much money. I was looking for a good starter guitar and this was exactly what I was hoping to find! While you can tell looking closely that this beautiful guitar is cheaply made (for example, the rosette and sound boards are both stickers rather than being built into the guitar. They don't fall or peel off so I don't mind that, but that's one specific difference in quality compared to more expensive guitars), it is good quality for the price, has good sound, and still looks like a serious guitar. (It is a bit smaller than the standard size.) As some others have mentioned, it falls out of tune very quickly, but that felt easy enough to me to resolve with the tuner (included), pitch pipe (included), or by tuning it to a guitar tuning video on YouTube. This also comes with an extra set of strings, 2 different-style sound boards (you choose which to install/put on), a pick holder that you can attach to the guitar (I love this!), a set of picks, a strap, and a case. The case is not padded at all, so be careful, but I've still been able to use it to transport my guitar and am really happy that this guitar came with it because I wouldn't have wanted to spend money on a separate guitar case at this point. The case opens at the bottom and has an adjustable strap and pocket. I haven't used the separate guitar strap because there wasn't something to attach it to the guitar on both sides, but I could have figured this out if I had tried harder. I think there might have been instructions in the other reviews.Oh also, another perk of this guitar is the strings and fingerboard are very comfortable--at least for me. I tried playing a friend's guitar after playing this one, and the strings were spaced a little bit higher above the finger board than this one, meaning it required me to press on the chords harder to play. Playing this guitar was much more comfortable to me by comparison.If you are an intermediate guitar player or more serious than I was about your long-term commitment to guitar, you might want to get a more expensive guitar set.But for someone like me who wants something beautiful and functional but cheap, I leave this with a very definite 5-star review! I am thoroughly satisfied with this guitar set! I love that it is a complete set with everything I needed to get started and an excellent value for the price. I may upgrade someday, or I may be happy with this for my whole life as an amateur guitar player. I highly recommend this guitar."
"2","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Nebo","5.0 out of 5 stars","February 28, 2023","I am not sure where to start but first and foremost I want to point out the fantastic costumer service ! The guitar is perfect for my daughter she loves it . It is easy to handle the price is perfect and she can learn at her own pace. The strings are very easy to adjust and change out . The color and the mahogany wood is absolutely great and not fragile . It came with plenty accessories. Again it’s a wonderful guitar ! And costumer service is A+"
"3","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Rachael W.","4.0 out of 5 stars","February 23, 2024","Guitar was okay so I guess that's the main point,  but bag was ripped upon arrival and I tried to exchange it but had to pay to send it back when it was just cheaper to buy a different one."
"4","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Kyle","5.0 out of 5 stars","February 18, 2024","It's a great guitar for the price and it stays in tune. Strings were garbage so I bought some Ernie balls and put them on but other than that five stars."
"5","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Mahbub","5.0 out of 5 stars","December 16, 2023","Everything that comes in the package is great. As a beginner, it was easy for me to handle this guitar. I have been taking lessons for 3+ months now. I think it's time to upgrade, as I'd like to access the notes beyond the 12th fret. I'd love to look at the other products that they have."
"6","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Roger Wright","5.0 out of 5 stars","February 21, 2024","Great sounding guitar excellent value for the product. Excellent product and no flaws."
"7","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Mike","3.0 out of 5 stars","October 10, 2022","id give it a five star if it came with like 3 packs of earnie ball strings, slicks, rough wind, and nylons.....also put more of the production cost into really good strings and just quit wasting money on the crappy little doo dadds like 2 sticker back pick guards, i dont use picks period let alone need a pile of every thickness known to man.! lol and the stupid car horn sounding tune flute thing..... cliche` may i say...(dr seuss) the strap is useless and just crappy nylon strapping, like not even soft. besides straps are to be chosen by the user at an in person music store, when ya get good like i am, the strap and the feel of it is very personal. so excluse it and if you gonna use crappy strngs in the set, make them the ones for spares, cuz the extras were way prettier sounding..POINT IS, GREAT DEAL FOR NICE GUITAR. IT SEEEMS A BIT SMALL , BUT NOT KID SIZE...WHICH IS NICE ACTUALLY. but buy the very best stings you can find, and get a few types, its a smaller frame and definatly benifits from very light or nylons. sliks are a good choise because they bring some tin trebble into the bass and mution that this body produces, and it wont make the screech sound as you move up and down wich make a begginner sound better faster, most learners slide to tthe next chord and pros usually lift more than beginners, using the coiled string rasppy screech to the benifit to the song or style and controls the ammount precisely, but to a begginner i feel the sliding sound on rough strings make them feel less confident,....i just saying drop all the junky gadgets(OTHER THAN THE DIGITAL TUNER) , the tuner is great! it even has optional intrumnents and drop chord tunes and stuff which ANYNE WOULD LOVE...ITS A GREAT GUITAR WITH CRAPPY STRINGS, Needs a better case too but it works great for a first or beater guitar, its just not easy to load the guitar from the bottom of the condom like case, but its ok, if the company would just send top end strings and a didital tuner that already comes with it and made the case zip all the way to the top at least istaead of the bottom only, this would be worth 3 times more....sothinking about buying it? heres my advise.... BUY IT, then order yourself some diffeing types of HIGH quality strings iin the very light side of string and get some full or partial nylons...and for times sake a guitar key peg spinner tool....iys just a lillte l shaped thing that makes it very fast to turn the keys to wind up the slack of a new string set....(MAKE SURE YOU LEARN ON YOUTUBE ATLEASTBEFORE RE STRINGING)it sounded ok with the second set of strings and amazing now i bought a fifteen dollar pack od ultra light earnie ball classical partial ny set.... this guitar is small enough for about a 7 8 yr old but large enough for me to just pick at all day and drag around in the truck and feel comfortable just taking a hour to sit on my tail gate and watch sunset in the smokey mountains  and pick some blues, and for 50 buck i dont worry about little scratches and stuff like i do on my 2000 dollart fender.but double the money too 100 , juts get a low end fender"
"8","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","Dalene Jameson","5.0 out of 5 stars","January 9, 2024","My son is 15 and really wants to learn guitar. He loves it. Especially the color it’s beautiful and all the little extras that come with it are fantastic. Can’t wait until he actually learns to play something instead of just making all the noise. Totally worth it to see him happy."
"9","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","yaraneli","4.0 out of 5 stars","March 20, 2024","Bought for my son to learn how to play the guitar and it was a perfect fit for him not to big."
"10","YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue","donna gonzalez","5.0 out of 5 stars","March 14, 2024","Got this for my grandson. And so far he likes it and is willing to learn something new."
