"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Joshua","5.0 out of 5 stars","June 28, 2018","







  
  
    I got this in a rush when I needed a new headset. In hindsight a bit more research would have had me getting something else. As a precursor to the review I feel that it is worth noting that I am very rough on audio peripherals. I don't know why, but they usually last me about 6 months regardless of the quality and price. This is why I choose to buy at a cheaper price point more frequently rather than high-end less frequently.Pros:Price for the quality is greatDecent speaker/mic soundGood quality cable that is at least 6' longSits comfortably on the headStereo/mic to separate stereo and mic connector includedIn-line mic mute switch and audio volume adjustmentCons:The USB is only a power source for the blue lights on the headset (it is a bit misleading in its uses, but if I had researched it a bit more I would have found this out before purchase)The in-line mute and volume knob would be better with a mic gain knob as wellIt tends to make my head a bit sweaty (I have long hair and live in South Texas, US. So it is hard to find headsets that don't do that, but still something to keep in mind)The headset only goes on one way (The traditional right and left side is enforced by the mic only being usable one way. I know I am in the minority, but I like the mic being on the right side of my head)So this is absolutely worth the money, but if you are looking for a high-end headset this is not it. I know my cons were a bit nit picky, and I don't want anyone to think that I regret this purchase. I knew I was getting a quick solution to needing a headset, and I honestly got more than I was looking for. The USB lighting, while completely useless, is a cool addition. The only reason it didn't make it into the pros section is because unless you want to look cool on stream it is wasted resources.So, yea. If you want a good quality headset for a good price this is great for you.
  
"
"2","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Lorraine Leatham - Rainey Day Reviews","5.0 out of 5 stars","March 17, 2024","







  
  
    Very affordable. My 14-year-old son is hard on headphones. I decided to purchase these because the price was right for each of us. He uses his headphones for gaming and I use mine to drown him out while he is gaming. I like to listen to music and it is nice to have a mic that doesn't crackle. Very well made. Pleased with my purchase.
  
"
"3","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Tyson","4.0 out of 5 stars","November 15, 2023","







  
  
    I've been using the G9000 headset for a few months now, and it's a solid choice for any gamer and works great for online meetings. First off, the sound quality is on point – I can hear every game detail, which ups my gaming experience. The bass surround is like being in the game! The mic is clear, and my friends hear me without any issues. It's also got this cool LED light that adds some style to my gaming setup. The only small downside is the plastic housing feels a bit cheap, but hey, it's a great deal for the price. In a nutshell, the G9000 is a winner for me.
  
"
"4","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Alan","5.0 out of 5 stars","March 19, 2024","







  
  
    I was initially going to leave a negative review since the product was advertised as being compatible for pcs and I did not see a port for the microphone on the cord, however upon thorough inspection of the packaging, I found the corresponding port adapter for the microphone and audio for my pc. The sound quality is amazing for the value, and I've gotten many compliments for the microphone being ""youtube quality."" The mute and unmute slide button is a bit annoying, though. It seems to get stuck easily when I slide between on/off but it's not that big of an issue to me since most apps already have a built-in mute button. I also like that I can use this headset on other devices and not just my pc. The glowing light adds a nice touch.
  
"
"5","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Alan","5.0 out of 5 stars","March 22, 2024","







  
  
    My son bought this with his own money after Christmas and it works really well. It’s durable and he likes connecting with his friends while he plays games.
  
"
"6","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Christopher Heringer","3.0 out of 5 stars","March 9, 2024","







  
  
    The product audio was good and it felt good although within 2 hours of use they didn't play any audio and kinda shut down
  
"
"7","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Randolph","5.0 out of 5 stars","March 23, 2024","







  
  
    It feels cheap but does not look or hear cheap the hearing quality is good and the sound of me talking is very good to recommend 👍
  
"
"8","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Rodolfo Trejo","4.0 out of 5 stars","March 20, 2024","







  
  
    Decent headset, good microphone.  Didn't have any issues plugging it in, easy set up.The headset does stretch a bit, but doesn't recoil back, so if you stretch expect it to stay that way.The blue light is bright and continued to stay on after the computer was off.  I couldn't even get my phone charged when this computer is off, but the headset milks that energy.  The blue light is bright and will glow in a dark room, so cover it if you like darkness, but if you need a night light, it can fulfill that purpose.Cable twisted up too much.  Eventually, it led to the right ear set wavering off and on depending on how the wires lie.  So, it broke.  Lasted 33 months in total, need a new headset.  Hope this helps
  
"
"9","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","NotaZoomer","4.0 out of 5 stars","March 27, 2024","







  
  
    These are ok. I brought these because I thought I could separate game audio from game chat. No it cant be done. Secondly the cord has too much going on. The charging cord and the cord that plugs into the controller are connected together. Too much. You should be able to separate the two. Not to compare but I have another headset that the only cord used when playing is the one that plugs into the controller. Thirdly no a huge issue but I thought that the light stays on when gaming, it doesn't. Overall not a bad product just needs to polish up a few things.
  
"
"10","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","LaMar","4.0 out of 5 stars","February 22, 2024","







  
  
    I bought this product specifically to use when using my PlayStation 5. I thought you charged the headset and the blue light could be turned on or off. That is not the case. You must plug in the USB somewhere to power up the light. Another thing is that the end of the headset chord has the jack connector and the USB connector separated in a y-split way. That means your jack connection and USB connection has to be really close to each other or you won't be able to use one of them as I can't on my PS5. The distance between the USB connector in the Playstation console and the jack connector which is in the controller is far apart and does not reach. I'll keep the headphones because everything else works fine and I'll use them when I play on my gaming computer. If this is not a conflict for your intended use then the headphones are pretty awesome and you'll be happy with them.
  
"
"11","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Clare","4.0 out of 5 stars","March 14, 2024","







  
  
    After about 3 months of light use the 3.5mm splitter that connects the mic started coming undone repeatedly. I had to tape it together with Gorilla Tape. Not a huge deal to fix it, but it shows the quality of the product to say the least. The noise cancellation could also be improved. The sound quality and microphone are great for the price.**update** The seller reached out about the adapter issue and made it right. Excellent customer support!
  
"
"12","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Adryan Hauck","5.0 out of 5 stars","March 8, 2024","







  
  
    I've had this headset since November of 2023. It no longer works. I take care of my electronics so I know it's not me. The mic hasn't worked since December of 2023. Most of the time it wouldn't plug in to my controller. Poorly made!! It's not worth the money. Find something WAAAAAAY BETTERThat was my original review, above. I wish to change my review, thanks to the seller. They contacted me and offered a full refund. In my eyes, that's a generous human being. I had already used the headset for a few months. Electronics fail. The fact the seller gave me my money back was an amazing gesture
  
"
"13","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Kim Childress","4.0 out of 5 stars","March 28, 2024","







  
  
    The headset is great its light weight, and perfect for gaming.  The only thing is I wish I could get more volume out of the headset.  Outside of the volume its a great buy.
  
"
"14","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Mique","4.0 out of 5 stars","March 25, 2024","







  
  
    Got these for my son. He uses them everyday for his gaming. They recently started to have issues. The audio will go in and out once in a while
  
"
"15","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","AZ","4.0 out of 5 stars","March 8, 2024","







  
  
    Everything is great, sound is exceptional if your not using it at full volume. Only problem is that it is a is uncomfortable, it doesn't grip very well and could fall if you move too much. Furthermore after wearing it for a while your ears could hurt a bit but it isn't a big deal.
  
"
"16","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Marcella DiBartolomeo","5.0 out of 5 stars","March 26, 2024","







  
  
    This headset has been a game-changer for my son's gaming sessions with his cousin who lives states away. It works flawlessly, allowing them to communicate clearly and enjoy their gaming experience together. Highly recommended for connecting kids across distances while playing video games!
  
"
"17","BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)","Robert M Hammond","4.0 out of 5 stars","March 25, 2024","







  
  
    Sound is amazing mic seems to work well overall great for the price
  
"
