"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Julia M","5.0 out of 5 stars","March 23, 2024","







  
  
    I struggle with airpods and squishy earbuds because they're too big for my ear canals. These have lots of fitting options and I have them in comfortably for hours. The sound is good for a wireless set. They of course won't have the deep bass of a real sound system but it works great for day to day in the office. They are not 100% noise canceling but it's enough I can't hear much. The price tag for such good sound can't be beat. They charge well and the case is very small. A tiny improvement would be if the case had a small bar so they can be attached to keyrings or hooked in a bag. For now they easily slip into a pocket or purse.
  
"
"2","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Mike","5.0 out of 5 stars","March 27, 2024","







  
  
    These ear buds are very comfortable to wear, The frequency response is amazing! Incredible bass response.  No distortion at high volume.The charging pod is quick and battery time is good.For the money it is an incredible value.Buy them. You won't be disappointed.
  
"
"3","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Aaron Yun","4.0 out of 5 stars","March 16, 2024","







  
  
    The TOZO A1 Minis are a solid low profile pair of TWS earbuds. They just get the job done. Nothing particularly wrong with them nor spectacular which is fine. If I were to give a rating based on the price I got them at (about 15$ before sales tax) I'd give them 5 stars, but that may not be the case when you the consumer are browsing low budget options for wireless earbuds so I'm critiquing them at their roughly 30$ retail price.The sound quality is solid for the price. The mids are good enough, the bass feels a bit recessed, and the treble can sometimes seem sibilant depending on the song. These issues are further exacerbated the louder you crank up the volume. It's not that bad because there’s way worse sounding TWS buds in this price range, but it's just something worth mentioning. The other thing I'm a bit mixed on is the battery life, but it's another small compromise you have to deal with in this price bracket. It's good enough sort of like how I described the sound quality but I wish the actual listening time was in that 8 hour range alongside the case with maybe an addition 10 hours charge time. But these are a small low profile pair, and the case as well is tiny so it is what it is. 5.3 Bluetooth connectivity is nice though I'll say, have not had connection issues and you can sort of walk around your house with your phone down and not have the audio cut-out.Overall I may came off as a bit negative/dismissive, but I just wanted to give a realistic assessment. Like I said for about 15 bucks if you're able to get it for that price it's nearly a no brainer if your pockets are a bit tight right now. The compromises I mentioned earlier would be mostly negated at that shoestring budget price. Otherwise I'd spend another 15-25 dollars and go up a tier like with the Soundpeats Engine 4.
  
"
"4","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Lilumazuria","5.0 out of 5 stars","March 25, 2024","







  
  
    I have small ears and the different sized ear adapters that came with it were perfect. The sound is great and they stay in my ears comfortably. I can't figure out all the things they can do, but they have touch controls. The sound is really good for the price point. The case is pretty good, and they keep charge for a long time. I can't wait to try these under my noise cancelling headset I use while mowing this summer. Great buy.
  
"
"5","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Michael Anaya","5.0 out of 5 stars","March 24, 2024","







  
  
    Not a fan of ""bud"" type headphones and would never consider buying a pair that would cost 100.00 or more, but I have to admit that the A1s are a great set of buds.  For phone calls are pod casts they're great.  Vocals are nice and clear and I've had no issues with the mics.  Clear calling all the way around.  For music, they are lacking in bass, put I've heard far worse.  The bass improves when I press in on them a little, and I found that by putting on the larger ear pieces greatly improved the bass and blocks out a good deal of outside noise.If you're looking for a nice set for a very good price, give the A1s a try.  You'll be surprised and pleased as long as you aren't expecting Bose or  Beats quality.I was impressed enough to upgrade to the T20s for the larger diaphragms.
  
"
"6","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","iflogic","4.0 out of 5 stars","April 9, 2022","







  
  
    I don't understand! I bought a newer version of these ear buds just a couple days ago, yet when I came to review them it brought me into my old review of over a year ago? What's up with that Amazon? Anyway, as you can see below this paragraph is my year-ish ago review. These newer ear buds are far better then the older ones. They have great sound, easy to pair with all my devices (including my gaming PC), and the touch/tap commands are easy to follow - they don't always work, but they're easy to follow. For example, it comes with them set in a ""bell/beep"" type setting for indicating things like connecting, power low warning, etc. The instructions say to tap three times to get it to set to voice prompts (which I prefer, as the first time they ran down on power it was apparently sending me odd beep sounds. I paid the beeps no attention because I thought the beeps were coming from my game. I only figured it out after the buds shut off). So I tapped three times on the right bud - nothing, I tapped three times on the left - still nothing. I tapped 3 times again on the right and heard a beep. Since the instructions don't appear to say what the beeps mean, I have no idea if I was successful. Including even a brief mention of what the beeps mean would get nearly a five star review from me. As it is, I'll just have to wait and see if voice prompts are even possible with these. Just a suggestion, since the previous two types of these ear buds came with voice prompts already set, you might consider making these newer ones also come with voice prompts already set so you don't unnecessarily confuse and thus annoy your repeat customers. Over all, for the price (was on sale for around $15 U.S.) these are pretty good little buds - not the best for sure, but well worth even the normal $30ish they ask at the time of this review.OLD UPDATE: I finally found the brand I had been looking for and bought a second set. The quality is great and the battery life is about eight hours. Even so, this isn't about those ear buds, it's about these TOZO buds. Not long after I left my original review the company reached out to me and presented an offer to make up for my opinion of their ear buds. (My previous review below included only three stars, I would like to note that I know how this update might look considering what follows, but I assure you I am not bought, I speak my real mind in truth. That's just how I was raised. In any case, just read on and decide for yourselves.) They really like their product and wanted a second Chance to get a better opinion from me. Perhaps the pair of ear buds I originally got from them were just a bad set, I don't know. Anyway, they offered to replace the set I bought for free, also they offered a different set for free if I didn't want to try the first set again. I thanked them for the offer, but I found the original brand I'd been looking for (as noted below/above) and didn't need any more ear buds. However, about a week later they again reached out with the same offer adding that they really just wanted to make things right because they work hard to make sure all their customers are satisfied with their products. In truth, it seems their customer care services are very motivated, they do go out of their way to satisfy their customers. By my wife's suggestion I took them up on their offer for a different pair, the TOZO model T9. Instead of being small and hiding in the ear, these have a tail that resembles some Apple brand buds. Once I received them I charged them up and tried them out. They were much better than the first ones I bought, sound quality was very clear, I could even understand the voice in the buds telling me when they were connected. Most impressive though was the length of time the batteries appeared to last, I started using them about 12:30 p.m., and they finally ran out of juice at around 10:30 p.m. That was with non stop use! So I would like to add two things here. First, this company really prides itself on taking care of their customers. Second, I am especially glad my wife talked me into taking them up on their offer, because these second set of ear buds really met the great reviews that convinced me to try these in the first place.(Previous review:)I had bought a different pair for about the same price as these and was so impressed that I decided to buy a second pair. Since I couldn't find the ones I was looking for I decided to try these based on so many positive reviews. After receiving these, charged them up, set them up, used them for roughly four hours and the right ear bud ran out of power fallowed shortly by the left one. The other brand I used might have spoiled me a bit since they easily last a full eight hours before needing recharged. These also do not have the sound quality as my other pair even though they both were under $20. Finally, the announcer on this pair that tells you when you've hooked up to a Bluetooth connection, or when the ear buds need recharged is really hard for me to understand. Sorry but the accent is simply too distorted to make out clearly. I'll use these as an backup set for now, but I'm really going to look harder to find the brand I originally purchased since, for about the same price, they are far superior in every way.Your milage may be better than mine, but I won't be buying these again.
  
"
"7","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Carly Spring","5.0 out of 5 stars","March 18, 2024","







  
  
    They are perfect for long hours of listening to your favorite music or podcasts.These small and comfortable earbuds are designed to provide a snug fit without causing any discomfort, allowing you to enjoy your audio without any distractions.Whether you're on a run, at work, or just relaxing at home, this Tozo earbuds are the ideal companion for your listening needs. I use every morning in my treadmill.With their sleek and compact design, you can easily take them with you wherever you go, ensuring that your music is always at your fingertips. Say goodbye to bulky headphones and hello to a more convenient and stylish listening experience with these amazing earbuds.I'm so happy with this purchase!
  
"
"8","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Chris C.","4.0 out of 5 stars","September 3, 2022","







  
  
    I needed some earbuds quick like after I couldn't find my trusty buds and I had prime, these were the only available ones for one-day same day shipping, and they used USB-C to charge, and my GF needed a pair as well. And when you type ANC into amazon's search these are the only ones that come up. Should've read the specs a bit harder; that isn't TOZO's fault  just amazon being unfriendly.Anyway, onto the buds:The construction:They are, the definition of mid, meh, whatever. Okay, fine, these are awful-ish? They are super plasticky feeling, not a slippery plastic feeling but these weren't built with quality in mind. They are fine to be honest. The eartips included are those flimsy plastic ones that are always included in cheap-o buds like these. Maybe they are silicone but I couldn't tell that's for sure. They do the job but it could've been done better. The default tips work fine for me but maybe experimenting with the included ones can get me a better seal. The buds themselves feel fine. They are shockingly light so I could see these being an advantage for fitness people who need earbuds that last two hours max for a gym outing. The charging case is where they really cut back. It's not the best built case. If the buds are waterproof the case most definitely is not. Be careful because if you loose the case  you lose the buds anyway. The lid on the case closes with even the slightest of breezes so that WILL annoy you very quickly. See the included  video in this review. When you put the earbuds to charge the lights on the case light up once, and that's it. There's no other activity to indicate the earbuds are being charged so you have to open the case and look at the buds themselves. The buds themselves only have a blue light or red light for charging or something. There's no included instructions on the packaging so you'll have to take your best guess on what that means. Luckily most bluetoth hardware should show the charge on the buds.The sound:These are not your audiophile phones that's for sure. I've messed around with various EQ settings on my phones, PC, laptop, etc. I just can't quite get them to behave right. That being said after walking around and playing music through them while shopping at Costco and such I've been pleasantly surprised at the ability to damped sound. Way better than I expected.Fit:The one part these headphones shine is that they are very comfortable to wear. At no point was I tired of wearing them, they just fit right. They are light and the angle they are built in works for your ear. I've gotta say it's a good design. Wish they had better everything else. If you are the kind that sleeps with earbuds on these may be your ticket.Pairing:Worked just like your standard Bluetooth earbuds. Take them out, check your Bluetooth menu, pair them, and you are done. I should point out the announcer voice is hilariously awful. No multi-device pairing so be careful of that one. These connected to my Samsung phone before my Pixel 4XL (my main phone) for some reason and I was lost for a bit wondering why they weren't connecting. Something to watch out for if you have various Bluetooth devices around you and are wondering why they aren't pairing right.Packaging:Very eco friendly packaging. Everything was cardboard with some kind of eco-friendly foam thing which felt not unlike a dish scrubber. Included was the eartips, a comically small USB-C cable and the buds and case themselves. I have to say, I approve. The less plastic I have to deal with the better.Summary:If I could sum up these earbuds it would be simple:""Great design, decent implementation""It would be nice if Tozo could take this same design and make a better high end version of them.
  
"
"9","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Chris C.","5.0 out of 5 stars","January 28, 2024","







  
  
    UPDATE: My original review complained about the controls, which I found difficult to use initially. After several days, I've gotten better at tapping and holding, and am having greater success in controlling the output. In addition, I switched from Podcast Player to Pocket Casts (on a Samsung phone), and now I'm able to double-tap to go forwards and backwards in the same episode, which is what I really wanted. (I care much less about moving to the next/prior episode).  My only remaining complaint is that whatever I was last playing still starts automatically the second I remove the earbuds from their case. I now just single tap one of them to pause the playback, and then try to screw them into my ears without accidentally starting them up again (and that's hard).However, I feel that for $16, this is now definitely worth 5 stars.ORIGINAL REVIEW:Let me start by saying that these are a good buy. For under $16, I wasn't expecting deluxe earbuds. The sound is fine for podcasts, which is what I listen to.What puzzles me is that everyone else is very happy with the controls, while I find them extremely difficult to use. I have them configured (via the Tozo app) so that one tap on either side should start or stop the podcast. Neither earbud reliably registers the tap every time. Double-tapping the right bud skips to the next episode, and that works OK most of the time. However, double-tapping the left bud, which should go to the previous episode, does not work at all (I've tried it from various places in my queue.). I had to disable triple-tapping on both sides--it's supposed to activate the Voice Assistant--because the buds didn't seem to distinguish between double- and triple-tapping.  Long pressing the buds to change the volume is finicky as well.  And there's no tapping option to skip ahead or go back in the same episode.After spending half an hour testing all the taps and experimenting with different configurations via the Tozo app to see if I could make the taps work better, I gave up, and decided just to use the phone's podcast app for all these functions.The other thing that's weird is that when I take the buds out of their case, they immediately begin to play the podcast that I listened to most recently, EVEN if I  exited the podcast and closed the podcast app (I use Podcast Player) on my phone.  And EVEN though the podcast app is configured to not allow external devices to start playing.  So by the time I get the earbuds out and screwed into my ears, I have to back up 30 seconds to catch what I just missed.So those are my kvetches. Having said all that, they're a good buy for the money. (I'll update this review if they don't last long). And I really appreciate the slick storage/charging case, and the fact that they came with multiple sizes of earbud tips.
  
"
"10","TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black","Carol M","4.0 out of 5 stars","February 19, 2024","







  
  
    First of all these are my second pair of Tozo ear buds. My last pair lasted many years until the battery gave out after heavy daily use. I was happy with them so I got a new pair from them. Let talk pros.THESE ARE TINY! I was shocked, I knew they were smaller than my old ones but they are almost comical how small they are.Battery life is good. These last easily the advertised 6 hours and from dead the case can charge the buds about 3ish times. Pretty goodUSB C at this price amazing. That's it that's the tweet.Now I'm sure you read the title so let'sntalk the cons and why I'm disappointedBattery life indicator. It does not want to disclose what it's remaining life is. It flashes quickly when putting a bud in and that's it you have to remove and replug the bud to check it. No other way to checkSound quality. These are NOT good as far as base. They are thin and all mids. That said it's not terrible for me as I listen to podcasts so not a deal breaker.The fit. My biggest disappointment. To be clear it's not the buds fault but they hurt my ears. I've tried wearing them several different ways with a few days break in between and several ear tips. They just plain hurt my ears. This is sad because I would tolerate the other cons if not for this.Overall these are great especially for the price. They are good build quality and they are good enough for most people. However I think if you are concerned about them hurting or like more than mids in your ear buds you may want to reconsider. If you need some earbuds you can toss around and won't be too sad if you lose or break them I say go for it. As for me I'm going to clean them and give them to someone as a gift.
  
"
