"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Kiah","5.0 out of 5 stars","March 22, 2024","







  
  
    This remote is really good! My old remote was gross and sticky from stuff being spilled on it, and I got these as a replacement and they work perfectly! We didn't have to sync them to the TV or anything, they worked right away and the Netflix, YouTube, etc. buttons also work! No voice activation which sucks, but it's definitely a good and cheap replacement if you're needing a new remote for your Roku TV :)
  
"
"2","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Kiah","5.0 out of 5 stars","March 18, 2024","







  
  
    Had no issues with them working for my roku as soon as batteries were put in. No programming was necessary. Great buy!!
  
"
"3","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Rhonda Brightbill","5.0 out of 5 stars","March 25, 2024","







  
  
    I would prefer not to explain how it happened but I dropped the remote in the toilet. Sadly, not a clean bowl. Still, I tried to salvage it but it had to be washed. It did not work after that. I got these remotes the next day. They work. Happy about that
  
"
"4","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Clearwater, Florida","5.0 out of 5 stars","March 5, 2024","







  
  
    If you're in need of a reliable replacement remote for your Roku TV, look no further. This one not only works perfectly but also eliminates the hassle of complicated setup procedures. Highly recommended for its simplicity and efficiency! I just hit the power button and it turned right on. Gone are the days of following 100 different command prompts on the universal remote.
  
"
"5","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","LaToyia Jones","5.0 out of 5 stars","February 15, 2024","







  
  
    I came home from a long trip, and my TCL remote control was no longer working. I assumed the batteries had died, but even replacement batteries couldn't get it working.Roku wanted $20 for 1 remote, which works out to about 4x the price of one of these badboys. They also no longer sell remotes without a built-in microphone. Hey Roku, I don't need a microphone on my remote control. I already have enough gadgets spying on me. I just wanted a cheap replacement that works.This worked perfectly right out of the box. A surprising bonus was a new key on this remote control, which is a shortcut to setting a sleep timer. I also use 3/4 of the channel shortcut keys, so that worked out better than my old remote as well.Overall, I'm very happy with this purchase.
  
"
"6","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Snowden","4.0 out of 5 stars","February 10, 2024","







  
  
    These remotes are amazing and work great right out of the packaging. The reason it got 4 stars is because there are no instructions that say remotes do not need to be programmed, just add batteries and use. They come with a QR you need to scan but it only works with downloading a third party app, once downloaded and scanned it just gives you the capabilities on how to use a remote, so dumb. But these are ready to go right out of the packaging. Two remotes for this price is not bad.
  
"
"7","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Amazon customer","5.0 out of 5 stars","March 25, 2024","







  
  
    Just what I ordered and works great - I now even have a spare if it one gets lost
  
"
"8","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Debbie Defreitas","4.0 out of 5 stars","January 31, 2024","







  
  
    Okay first off, the remotes do not contain batteries you will need AAA. Next, I was in a rush to buy these and did not read the description which clearly states they were ONLY for smart TVs. Not the sticks/other attachments. Lastly these do work amazingly with a smart tv I have one luckily or I would’ve needed to return these. They were meant to replace my remotes I lost when moving but for now it only replaced one. So hopefully I find the real Roku remotes for my attachment. Anyway if you are looking for a new smart tv remote I think these are a great idea. They are very responsive and you don’t need to connect them in anyway. It’s an automatic connection. It can be used on any smart tv listed in the description from what I assume. I have a onn Roku tv that I used mine on and it worked great. If you are getting this for some type of attachment it will not work (I tried just in case but it needs physically paired, the correct remote should have a pairing button under the battery cover). I hope this review helps.
  
"
"9","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Destiny","5.0 out of 5 stars","March 27, 2024","







  
  
    We needed a new remote asap. This one was exactly what we were looking for. Bonus of two for the price of one and an extra bonus, it was delivered right to our front door the same day as we ordered it. I don't know how they did it but we are impressed and happy.
  
"
"10","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Destiny","5.0 out of 5 stars","March 25, 2024","







  
  
    Worked well right out the box!!  Just need to the purchase batteries! Honestly was a steal only 10$ for two remotes when the name brand one is more expensive for one. Having an extra one works out for my favor, since my dog chewed my remote up in the first place.
  
"
"11","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Rich G.","5.0 out of 5 stars","February 19, 2024","







  
  
    These saved our butts as parents. My daughter is constantly loosing her remotes. Even the link room ones as often as her bed room.  We ordered this 2 pack after hers had been missing weeks at that point.  Both remotes worked perfect after putting battery in them.  I had to do no programming or anything. She has a Roku smart tv.  And the best part was they are exact same as the one that came with it so her glow in the dark silicone remote cases  fit right on no problem.  Oh and soon as they arrived to my home she found her lost one! So we got 3 now for her tv, 1 hidden in my bedroom!
  
"
"12","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Debbie","5.0 out of 5 stars","March 25, 2024","







  
  
    I have  4’TCL TV and we’ve gone through many remotes due to my dog deciding to use them as chew toys.The remotes work very well with our TVs in our home.just add batteries and your remote is good to go.  Thank goodness for these remotes!
  
"
"13","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Kat Concepcíon","5.0 out of 5 stars","March 9, 2024","







  
  
    These remotes work better than the ones that came with the TV’s!! For setup you just put batteries in them and point at the tv as simple as that. I turned around and pointed it in the opposite direction as my tv and it still worked, before I would have to make sure it(remote that came with tv) was pointed directly at the tv. Stop looking around and just buy these! I’ll update review if they stop working
  
"
"14","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Kat Concepcíon","5.0 out of 5 stars","February 13, 2024","







  
  
    So, my dog literally ate a remote for one tv, and the remote for the other was missing the power button thanks to a teething toddler. I saw the listing for a pair of Roku remotes for about $10 with good ratings and decided to take a chance. So far, I am glad I did. All I did was put a AAA in each remote and they worked with both my tv's instantly with no programming necessary.  I have a Best Buy house brand tv and a TCL and the remotes both work without fuss. There are a few buttons I have not yet tried, but I assume that since the power, volume, and back buttons are working the others likely due as well.
  
"
"15","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","argo7t3","5.0 out of 5 stars","March 6, 2024","







  
  
    I have an older TV with the  remote getting a little weak on sending. This is better than the original; It has a wider field of view and an easier press on the button. It seems much stronger than the last 3 or 4 I have ordered over the years. If it holds up I will be very happy. It also has an extra dedicated button for the sleep timer which will come in handy for me.
  
"
"16","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Kindle Customer","5.0 out of 5 stars","March 28, 2024","







  
  
    My dog had chewed up the original Remote we had and I found these. Works great and for the right price I now have a back up in case it happens again!
  
"
"17","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Dylan Presley","5.0 out of 5 stars","March 25, 2024","







  
  
    Great replacements for our original Roku TV remotes. Everything works fine right out of the box for both our Vizio Roku TVs. Very light, but had a few small drops with no issues.
  
"
"18","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Yavanius","5.0 out of 5 stars","March 28, 2024","







  
  
    Good deal on these because you definitely need two! There isn't anything wrong with them, and I just needed a basic one to work with the Roku TV.
  
"
"19","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Cindi","5.0 out of 5 stars","March 25, 2024","







  
  
    Picked up a Roku smart TV with no remote.  Purchased this 2-pack and they worked perfectly right out of the package after putting in 2 batteries.  No configuration needed.
  
"
"20","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","M. Fullerton","5.0 out of 5 stars","February 29, 2024","







  
  
    We had ordered a different universal remote for our new smart TV, but it wouldn’t program to connect to our TV (it was supposed to be compatible). Ordered this set of two when I logged in to return the other one. When the new ones arrived, I put batteries in them and hit as button as I was replacing the battery cover….TV came on! No programming required! We especially love the YouTubeTV button that takes us directly there.
  
"
"21","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Elaine Logan","5.0 out of 5 stars","March 22, 2024","







  
  
    Ours were worn out in both the living room and bedroom. One in living room barely functional. These work great and can't ask for a more reasonable price.
  
"
"22","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Amazon Customer","5.0 out of 5 stars","March 8, 2024","







  
  
    I don't know about anyone else but my kids destroy remotes. They are always losing the battery cover and the remote itself.  This cover is amazing. It allows us to find the remote better and keeps the kids from removing the battery cover. The remote is a slippery sucker and this cover gives us a nice grip.
  
"
"23","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Mushu's Mona","5.0 out of 5 stars","March 10, 2024","







  
  
    Apparently turning the tv off and dropping the remote to the floor as you fall asleep isn't a smart thing to do! LOL So I had to buy a new one.This product actually works better than the one the Roku TV came with! Worked right out of the box. And it came with 2!!Shipped really fast.
  
"
"24","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","Missy D","5.0 out of 5 stars","March 27, 2024","







  
  
    Love these remotes!  MyKids always misplace their so these are nice to have as an extra!  Wish I would’ve purchased sooner.
  
"
"25","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","John Bloomfield","5.0 out of 5 stars","March 18, 2024","







  
  
    These are the same exact remote that come with the Roku Tvs. My son either loses them or spills stuff on them so I've had to replace them a few times! Well worth the money have a spare!
  
"
