"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","McMom2Boys","5.0 out of 5 stars","February 21, 2024","







  
  
    I purchased 2 keyboards for my gaming sons. The swapping of keys was easy. The keyboards held its charge well and lasted a day plus of frequent use (daily). The keys makes a clicky sound which is what my sons were going for.After a month of almost daily use, the space bar on one of the keyboards stopped working. There was nothing we could do to repair it at home. I reached out to the company via Amazon message and explained what happened. They replied promptly asking for a clarification of the problem and a picture of the problem. I submitted both and they offered us a replacement right away. It arrived in less than a week and works beautifully. They told us to discard the broken keyboard.The keyboard is good, but the customer service is excellent!
  
"
"2","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","BAT","5.0 out of 5 stars","March 6, 2024","







  
  
    I don't have much experience with gaming keyboards and I really just bought this to have a little more room on my desk at work, but I think it's pretty good. It's very clicky and while I do think it sounds just a little bit cheap, it's still satisfying to type on. I wish the lights were a bit brighter, but otherwise the variety of patterns it produces are fun. I haven't noticed any lag or connection issues, although I will mention that occasionally the @ and # are replaced with "" and £ seemingly for no reason. I assume I'm hitting some kind of hotkey that changes 2 and 3's special characters, but I've yet to figure out what I could be doing and it's JUST those two keys. At no point does anything else change what it types. It might even be a weird glitch, but it's rare it happens and it doesn't bother me enough to do anything about.That aside, I've been happy with it and I'd recommend it as a stepping stone for someone not looking to spend a ton on a mechanical keyboard. I think it makes a great starting point. It also came with additional red keys so you can swap them out if you don't want it to be the default color.
  
"
"3","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Aaron","4.0 out of 5 stars","October 7, 2023","







  
  
    Obviously there are better mechanical keyboards out there, but I don't think you'll find one for less than $30 better than this. I went with the blue switches because I am personally a fan of clicky switches. Following are my pros and consPROS-Affordable as hell, seriously if you have the money to buy a crappy membrane keyboard then you have the money to buy one of these- Ergonomic design. The back rows of keys are slightly higher than the lower rows which make for a very comfortable and easy to type on design. I usually take a few days to adapt to a new keyboard but this one just felt good right off the bat.- Consistent and decent quality switches. I've used cheaper keyboards before and they usually have some QC issues with some switches having a completely different feel from others, but everything is consistent and feels the same on this one.CONS- The switches sound a bit ""twangy"". There is a higher pitch sound to the switches that other blue's don't suffer from. This was mitigated by sticking a few adhesive foam pads inside the PCB tray, but without the foam the switches were kind of annoying, and I've been using various blues for 10 years now.-Variances in the different colored key caps. The keyboard comes with some red and black keycaps to replace the default grey ones, and they sound difference is STARK. The red caps sound light and metallic, while the blacks sound heavy and thuddy. I replaced the default grey space bar with a red one and it has a very very obvious sound difference from the rest of the keys.-It's not hotswapable, the entire PCB is soldered and doing any kind of customization is nearly impossible.
  
"
"4","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","PC","5.0 out of 5 stars","February 26, 2024","







  
  
    I don't do well with the macbook keyboard if I am on the road for more than two days. Obviously everything needs to fit in my carry on luggage. This keyboard hits the sweet spot for me. I don't need translucent key caps nor multi-color lighting. USB wired is just fine. It fits perfectly at the bottom/back of my carry on. The blue switch is just what I am used to. The price is unbeatable.The frame is plastic, not metal. But it feels sturdy enough. Two levels of tilt adjustment by the folding feet.The included orange keycaps are fun. But some extra caps are obviously not for this compact keyboard, they may be for the larger one with number pad. I don't know if this is a mistake or they just drop the sam bag of selected orange caps.
  
"
"5","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Moses Morales","5.0 out of 5 stars","March 11, 2024","







  
  
    I only got this keyboard today and I am really happy about it. the keys are not loud, it is super small so it saves space, it comes with extra red key caps, and if you hold ""fn"" and then press the windows key it will lock the windows key so you don't accidentally tabbing out. The brightness is not very bright and it is difficult to remove key caps but overall a very good product
  
"
"6","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Pranjal Shukla","5.0 out of 5 stars","March 16, 2024","







  
  
    10/10I love itthis is my first mechanical keyboardvery smoothvery light weightExcellent for coding and for gamingonly draw back is it goes on sleep after quite some of inactivity i have to unplug and replug the power cable for it to restart other wise it really greatalso the lack of functionallity to jump to end of the line and the start of the line while codingwas a bit annoying but i configure the keys with windows PowerToys app10/10
  
"
"7","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Cesar Fernando","3.0 out of 5 stars","March 17, 2024","







  
  
    Keyboard looks great and build quality is decent but feels cheap by times. Backlights is cold white , great and have diferent variations. Colors and design is great but there are some quality conmtrol flaws. I got the white-black and orange, out of the box it came with white and black key. Orange keys were packed in an extra bag wich is great but the miss is that the keyboard is a 60% so there is no number pad but orange keys included in bag include numb pad plus, minis, enter. Those ma be like extras but will prefered to see key that can be replace in the keyboard. Other downside is that the keyboard indeed is mechanical but it lacks of a spring that provide resistance to presure and key taping so key feel loose and whimpsy. For the pricepoint sure is a decent option but typing just feels like a toy.
  
"
"8","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Jordan R.","5.0 out of 5 stars","February 14, 2024","







  
  
    Feels pretty good for the price point. I thought it was the red switch version but it’s got brown switches. Must’ve just not caught it before I ordered it but it’s all good. Does what I need it to do. I’m not used to keyboard and mouse gaming really, so it’s still a bit awkward due to me primarily using an Xbox controller.But it does look great! And it has a nice weight to it. Doesn’t feel cheap either. Wish it was wireless but I would recommend so far.The spare key caps are not transparent lettering so it kinda messes with the LEDs coming through. Also a few extra red key caps that don’t really belong anywhere on the keyboard which was odd. I also wish that the keys that have dual function especially for things like volume were labeled. Oh well. Not a huge deal. Nice keyboard overall!
  
"
"9","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Jordan R.","5.0 out of 5 stars","March 25, 2024","







  
  
    I recently switched to this keyboard from a larger one as my old keyboard broke, and this one was at a very good price, in my opinion. I saw many other positive reviews, and it reinforced my need to buy it, and I do not regret it. This smaller keyboard makes all the difference when gaming, which I did not even know I needed, to be honest, but when you buy it, keep in mind you are getting the best quality for that price. While it is not the fanciest thing on the market, it gets the job done and is a top option if you are in the market for a gaming keyboard.
  
"
"10","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","Dongil45","4.0 out of 5 stars","February 27, 2024","







  
  
    it's a solid keyboard & chances are, that you'll get a fully operational one, but i was a bit unlucky. the 2 key was very inconsistent. i had to take the thing apart & resolder the switch because the original solder was basically half done. the other solders were solid, but it's just not good enough. most people are not going to have the knowledge to troubleshoot such an issue. from what I've seen in the other reviews, their customer service department would surely make it right, but it seems like a big waste of resources when it could all be avoided with a quality job in the first place. I'm glad I got the keyboard working, and will use it until it properly breaks, but it is unlikely I will ever purchase another item from this company.
  
"
