"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Fani","5.0 out of 5 stars","March 18, 2024","







  
  
    This is a fantastic product. I bought it because I wanted something for my flight overseas to reduce the plane hum noise which drastically reduces jet lag.So I bought this and I was amazed how great it wasPros:* great construction, feels sturdy* good choice of colors* came with USB charge cable and regular 3.5mm (I think) jack wire so it plugged into all audio out* bluetooth pairs fast and easily* noise cancelation is excellent* sound quality overall is just amazing* the thing goes over your ears nicely without hurting your ears or making it feel like it's on fire after an hour. It has soft padding and cushioned so it really helps* you feel the whoosh -> reduced sound as soon as you put it over your ear and it auto-enables noise cancel when you power it on which is great and tells you ""Battery high"" etc. which is great* battery life is amazing. Charged it once for like 2-3hours to max and it worked for 15hr flight to and another 15hr flight back and it still said Battery high. I didn't use it all the time. Maybe for like 60-70% of the time which is still great* colors are nice and make it look classy.* it doesn't cause any issues with the band over the head* you can use it wired without needing to power it on so it uses extremely little battery* the controls are fine and the ear muffs are labeled R and L which is a nice touch* haven't tested bluetooth range but I figure it is maybe standard of working across a large room* price is very good for the performance. Sure it is not a Bose ($350+) or JVC ($200+) or some others but for $40-$50 this is truly fantastic.Cons:* the one and only con I found is if you plug in the audio jack the noise cancelation turns off immediately which is a shame. So on the plane I was watching a movie where the audio came in nicely but I could hear the little plane hum as well (it was muted but not noise canceled).Other:* didn't test the bass boost but I'm sure it is great.Overall, I liked it so much I bought 2 of them. My teenage son loved it too and he said they're really great quality and works well. The next gen opinion is important because typically they will be the supporters of such products en masse
  
"
"2","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Michelle","5.0 out of 5 stars","March 26, 2024","







  
  
    Had these headphones for several months and I love them. The battery life seems like it lasts forever, they charge quickly, instantly connects when i turn them on and stays connected to my phone super well, sound canceling and audio quality is pretty good, and I can wear them for hours comfortably (even with my big head lol). Havent done much talking on them though so I can't speak to the mic quality, I assume it is pretty good too though because i haven't had any complaints on the 2-3 calls i have made with them on.Overall I would definitely recommend if you're looking for a good, basic set of headphones.
  
"
"3","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Alex","4.0 out of 5 stars","January 11, 2024","







  
  
    THIS REVIEW IS SOLELY BASED ON USING THE HEADPHONES IN THE GYM:Pros:- Sound quality is good. Wish the bass was more aggressive but that isn’t a deal breaker for me.- Noise canceling function is good. You can definitely “hear” the difference if turned off/turned on.- The buttons work.- Ear cushions are comfortable, but there is a con to them (see below)- Durable. See below for more- Battery life is good. I need a full charge maybe every 3 weeks. I only use it in the gym…5 days a week, 2-3 hours.Cons:- If you aren’t used to softer ear cushions, it will be slightly uncomfortable due to sweat.- The headphones fit ok. But they aren’t the most snug. I powerlift and every rep of heavy deadlifts or setting up for bench these headphones fall off.- The charging cord is absolute garbage. You need to angle it a certain way to keep the charge on the headphone because the cable is blocky and doesn’t fit snug.I would definitely recommend these headphones for gym goers that want affordable and DURABLE headphones. I’ve used UA Headphones in the past but had to get it exchanged THREE times in a year due to the product malfunctioning. And every malfunction was the same; buttons stop working, one side of the headphone stops working.I’ve dropped these headphones plenty of times during lifting and it still holds up. Really happy with this product
  
"
"4","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Carolina","5.0 out of 5 stars","July 26, 2020","







  
  
    Update Dec 2023- These headphones are still as awesome as the day I received them in 2019!  Ankar is truly hard to beat.  Just in case you’re looking for a pair I can vouch for the quality of these.I’ve had these headphones since end of December 2019, gotten for flight over the holidays. Tried out both Bose noice Cancelling headphones at local brick & mortar store, but the price caused me to pause.  On to Amazon where I found these, better price, would arrive before my flight, sounded like a deal worth a shot after reading everything about them what did I have to lose with Amazon’s return policy & Anker’s reputation for quality.I’ve had great chargers, other electronic items by Anker with great results.  They arrived on time well packaged, impressive from the start, but sound quality sealed the deal.Back to Anker headphones, I love them! The sound quality is amazing, when I have ANC on I can’t hear anything but music, the outside noise is indeed cancelled. Even on my really bad flight (another story) a guy wanted to test them against his B newest headphones, so we switched for a test. He said he wish he had known about Ankers quality & price, they were impressive not that he would give up the B set, but would definitely buy them as a spare or an extra pair to use for other activities, he couldn’t believe the price.  He went straight to Amazon asked me if the pair he chose were the same as mine, they were & he ordered them. That kind of confirmed I have a great pair of anc headphones & didn’t pay $$$ for them,They pair easily and are comfortable - until I’ve worn for hours then my shades/glasses are indented in my skull, time for a break, but that’s after hours of wearing-enjoying great sounding music 4-6 hrs & battery is still strong, time fly by.There are only 2 minor suggestions for Anker regarding these headphones 1) add to Soundcore app please (after thought I don’t know if it’s needed unless to customize equalizer) the volume can be controlled on the headphones.  2) the headband could use a slight redesign.  Wearing them while working out, doing lawn work or inside cleaning, cooking, always moving about  (excellent BT range btw), the top of headband pulls my hair as the headband is adjustable it tends to slide a wee bit & my hair gets pulled  so I have to adjust them & keep going, I’ve no idea how they could do this it’s something I noticed when trying out my son's. He bought a cheap pair of JBL headphones for lawn mowing, they do fit a little better but don’t compare to Ankers sound quality, imho Would love JBL type fit on Anker Life Q20 hybrid ANC headphones!Taking phone calls while wearing headphones works great, I asked how did I sound, fine he said, then we laughed when I told him I was listening to music on my Ankers when he called & I took the call while wearing my headphones. Neither of us had any problems with quality of call. Volume is easy to find & adjust the multifunction button is easy to use for music or calls.They come with the charging cable, though I wish more companies included the wall plug in,I don’t always have a spare just ling around, ok so I never have a spare just laying about.  Also the aux cable is included though I haven’t used that feature yet. A drawstring pouch to put them in, which was good as I didn’t have a case to put them in for my flight & no time to get one. Instructions are well written Anker products are always first classLove these headphones, the ANC & overall sound quality at this price point is a gift that keeps on giving. The quality of this model looks & sounds like the much higher price headphones, maybe better than some.  I wouldn’t hesitate to buy for a gift as they come gift wrap ready or a gift of music for me.Overall Ankers entry into the headphone, earbud market is welcomed. I wouldn’t hesitate to try them out if you’re looking for headphones with ANC Fantastic sound, that doesn’t break the budget to tears, give them a listen I think you’re going to love them.Simply put my Anker Life Q20 ANC headphones are fantastic in quality and sound. I’m not an audiophile but I can’t find a thing disappointing in these, not quality or sound.  I like a variety of music & I hear good  bass, mid tones & treble, vocal it’s all there. As said for everything including quality these headphones deliver at a price that doesn’t break the bank & with Ankers outstanding customer service is amazing. I can honestly say Anker SoundCore is definitely impressive, just as their charging cables, & other electronic devices that was my first introduction to Anker products. I’m sure I’ll look at their Bluetooth speakers soon.Sorry for overly long review, there’s so many outstanding elements that I feel are important for customers to know when spending your money,I try to offer as much info I’ve experienced as possible, I’ve relied on Amazon customer reviews when making a purchase, they’re brutally honest good or bad & I appreciate that.I’ve had & used these headphones since late 22nd December, tonight is 25 July enough time to really evaluate  them, they’ve exceeded my expectations, I would definitely recommend, most of all I would buy them again.Thanks if you did read this long review, good intentions to help others as they shop. UPDATE 12 August a friend of mine used my Ankers while visiting. He called back he had received his very own Anker Life Q 20 headphones.  That says a lot about the sound & quality whilst respecting the customers wallet, he was so happy with his new headphones & that I recommended Ankers.Thanks again to Amazon shoppers, Amazon & AnkerUPDATE:  if you’ve read my review you know I’ve had this set of headphones since Dec 2019 it’s Nov 29 2023. I  thought I would need to replace them this week but not so fast! Removed them from the pouch they came with, paired with new iPhone and wore them while preparing dinner continuing until bedtime always after midnight.  The quality of sound, the hours of comfort while carrying on with everything needed to be done, the joy of listening to many genres of music was fantastic even taking a call.In 2019 I think there was 1 color choice, sure I’d loved to have had the choices Anker has today but I didn’t buy them as a fashion statement but for the Anker quality, outstanding customer service in every product they put the Anker name on.  These headphones have not diminished in sound quality whether I’m jamming as I go through daily chores, or taking or making phone calls while wearing this same pair of headphones.In this current economic environment I’m thrilled for Anker’s dedication to quality while delivering headphones that are affordable. And providing a fantastic choiceI wanted Amazon shoppers to know they have a choice if shopping for headphones that doesn’t sacrifice sound or quality or lasting performance.  When I’m looking for another set of headphones or the Anker Liberty Air EarPods or the many chargers I’ve bought, I always look for Anker/Soundcore first I know the quality and their outstanding customer supportThanks everyone Happy Shopping
  
"
"5","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Sherry K.","5.0 out of 5 stars","February 29, 2024","







  
  
    After a frustrating trial-and-error experience with four other headphone pairs within the same price range, I stumbled upon these gems thanks to a recommendation from an obscure audiophile blog. Let me tell you, I am absolutely thrilled that I did!My daily routine includes hitting the gym 3-4 times a week and  an 8hr work day, during which these headphones become an integral part of my day. Comfort was a priority for me, given the amount of time I spend wearing them, and I'm delighted to report that the cushions feel like little clouds enveloping my ears – light, airy, and incredibly comfortable. They do an excellent job of maintaining sound quality while keeping unwanted noise out.After nearly a year of continuous use, I did notice some minor peeling on the cushions around the 11-month mark. However, I was pleasantly surprised to find that replacement cushions are both affordable and just as comfortable as the originals.The battery life of these headphones is nothing short of extraordinary. Even after a year of heavy use, I am still amazed at how infrequently I need to charge them. While I can't claim to be an audiophile, I thoroughly enjoy the sound quality and bass these headphones deliver. They can get quite loud, and considering their price point, they do an admirable job of blocking out external noise.Overall, I have been thoroughly satisfied with this purchase. Despite my positive experience, I hadn't felt compelled to leave a review until now. That changed recently when, on the one-year anniversary of my purchase, I accidentally dropped them into a creek during a jog at the park. They made a funny noise and wouldn't power on/off so I thought it was toast. After allowing them to dry for a few days, it powered on and is working just as flawlessly as before. Beyond impressed with their durability and performance 10/10 would def buy again!
  
"
"6","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Amazon Customer","5.0 out of 5 stars","March 13, 2024","







  
  
    I’ve had this headset going on 3 years now after seeing it on TikTok and it’s one of the best most affordable purchases I’ve ever made. I originally got it for MCAT studying because of the noise cancellation which I think works super well. There are certain frequencies of things that don’t get cancelled out like knocking on a table or loudly flipping a book page, but there’s still such a huge difference with the cancellation. I used to live on a busy street in a big city and I couldn’t hear anything once I engaged the noise cancellation.The battery life is excellent. I use it maybe a few hours a week and I don’t usually charge it for months. The connection is good and sound quality is pretty clear. The only problem I have is that it’s a little bulky and kind of hard to store (even with the pouch they give you, the headset doesn’t fold in as smoothly). But the headset is also extremely durable and hasn’t broken in the 3 years I’ve had it. Again, one of my best purchases given the quality of product compared to other noise cancelling headphones. Highly recommend for studying especially if you like to listen to music or even just to block out other sounds.
  
"
"7","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Maddy","5.0 out of 5 stars","February 14, 2024","







  
  
    Great headphones for everyday use. I primarily use these to listen to music while walking around campus and doing homework and am very satisfied with these. They’re very comfortable and offer great sound quality including satisfying bass with the “Bass Up” thing turned on (but I’m no audiophile), easy-to-navigate and intuitive tactile buttons, good battery life and Bluetooth range, easy setup and quick connection to your devices, good noise cancelling in situations with low to medium amounts of noise, and a sleek look (I got the black ones). You can tell they’re not the highest quality material but that’s to be expected for a pair of headphones at this price point. These just need to be well taken care of to ensure they last as long as possible.I was originally looking for headphones to use both inside and out of the gym but I don’t think I’ll be using these in the gym. If anyone else is looking for gym headphones, I’d suggest spending more money on headphones that are more secure, durable, breathable, and IPX rated. I think these headphones excel (for their price) when used in typical everyday situations. These clearly aren’t designed for the gym and I wouldn’t recommend them for gym use either since they do have a little bit of slip (not enough to be noticeable when walking around but enough to where I’m sure it would get annoying in the gym), keep your ears pretty warm, are not rated for moisture/sweat, and are not particularly durable.Overall, I highly recommend these headphones for people just looking to listen to music while walking around or working. I’m happy about the comfort, sound quality, and long battery life.
  
"
"8","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Amazon Customer","3.0 out of 5 stars","October 8, 2023","







  
  
    Overall they are a decent head phone not wow like bose or higher quality but they do the trick for a cheap pair of head phones. They’ll work until the holiday sales start.Pro’sBluetooth or aux cord. Most devices are going away from aux cord but they know a lot of people have older devices and can not financially update and this allows both.Decent sound for a cheapo pair of head phones. I wouldn’t rave it great but it gets the job done. I compared them to my older head phones from 10 yrs ago and was a bit impressed but def NOT  wow they’re great. No where near bose but it does the job. It does some sounds decently but is not so great at other sounds. If you like surround sound I would not rate these great for that. I love good sounding music and these don’t cut it for me but will do until the holiday sales kick in. I live in my head phones so I will get high quality ones these ain't it.Won’t break the bank. For a cheap head phone these are actually pretty decent. I’ve had my fair share of cheap not so great head phones. If you are not hard on your head phones you could easily get a couple yrs out of these. I have a lot of aux cord devices and this will probably end up being a back up pair for those. In the long run I may eventually take out the battery and keep them as a aux cord headphone.Great noise cancelation up to about 90 dec. That's pretty much most back ground noise. Works great as I'm a light sleeper. This is a standard feature with most head phones these days.Con’sShort battery life. I mean 40 hrs isn’t that long. I know other head phones that can last up to 3 days with a full charge. I mean that’s every other day you’re charging them for 2 hrs.Short axu cord. Sorry but 1.5 ft is very short and you need at least a 3 ft cord to be comfortable with it. You can easily buy a longer aux cord on amazon if this one be too short for you. Yes the aux cord can affect the sound quality. You be best to buy a more decent one than the cheapo one that came in the box.Charging cord is very short 0.5ft. Designed to charge device off to the side not while using it. I am glad I bought a universal head charger as this won’t cut it for me. Am I the only one who finds the tedious charging of head phones annoying?Environment affects battery life. This head phone is designed for the ideal temps of 40-90f.  Anything outside of this range can heavily affect them. If you read the manual this is in there.Volume controls are a bit difficult to access. You have to tuck under the ear piece and feel for them instead of blindly taping the ear piece for it. This is a bit frustrating.Not the best sound. Great for a chep pair but I wouldn’t go raving about the sound quality. I am use to high quality sound such as bose or better.Can’t hear anything in a noisy environment above 90 decimals unless the volume is over 30%. Sorry but my old beats could easily blast through that and I could hear my beats as low as 5% volume in noisy environments. I had a fan running in the back ground and had to have them 40% or higher to hear them.App that comes with the head phones will steal the data on your phone. So many people fall for this and you can run the device fine without it. Please read the i agree clause and you will save your self from this fate. You do NOT need the app and they work just fine as a stand alone device.Unable to disable the voice notifications. I use my head phones a lot and find it annoying when your device randomly says “battery low” or gives an odd command out of the blue. Zero way to disable this.A bit tight for me. These are pretty tight on my head and I do not find them the slightest bit comfortable. The ear pieces are huge for me and it would be nice to have them a couple inches smaller.
  
"
"9","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Miranda","4.0 out of 5 stars","March 4, 2024","







  
  
    They're perfect for what I'm using them for-- but definitely read first before buying, because the upgraded version may be what you're looking for.I am incredibly sensitive to headphones (as opposed to earbuds). My head is really sensitive to pressure, and even with light headsets I can start getting a migraine with constant pressure in one spot for too long. My ears also experience the same sensitivity-- they go numb/get tingly pain very easily with on-ear sets.I've been using my Airpod Pros as my go-tos for three years now, but I wanted over-ears for when I'm playing my keyboard piano-- it just gives a better atmospheric sound and nuance, in my opinion. So because of this, it was really important to me to get a pair that could be wired, on top of being bluetooth for versatility. I also prefer a wire option for AIRPLANES! If you ever want to watch an in-flight movie, you still need an aux cable these days. Surprisingly, it was difficult to find a model of headphones that still offer both options. It was a big reason I went with these.CHARGING/BATTERY:The first con is that these use micro USB to charge. Most updated tech is moving to USB-C, and I don't have any other devices that still use micro cables. When I travel with these, I need to remember to bring that designated cord. (Note, the Q20i model has USBC charging) On the other hand, the impressive battery life (60H with ANC off, 40 with it on) does help with that. I also like that it tells you verbally the battery level when you turn them on, so you get a heads up of what the charge is at. However, my apple devices also give me a battery percentage indicator for more accurate levels.EAR CUPS/NOISE CANCELLATION:The over-ear design is so much more comfortable than on-ear, and even helps enhance the active noise cancellation. A lot of external sound is filtered out even with ANC off because of how these cup around your ears snugly (but not too tightly!). My ears fit all the way inside comfortably. As I type this, I have cleaners in my home running a vacuum downstairs and I didn't even notice until I took the headphones off.COMFORT:When I first opened these up and put them on, I felt that the cups were putting slight pressure inward against my head, but after wearing them for ~5hr they seem to have already ""broken in"" and it's not noticeable anymore. As far as the top of the headset, I will say there's not a ton of cushion, but it's enough for these to feel okay for hours on my sensitive head.SIZING:They're not that heavy but they do press down a bit on my head because they're SLIGHTLY large on my head. I'm a 5'4"" woman, I'd say pretty average sized head?? lol - but these do feel a bit big on me. I don't think I would use them for working out or running, something as small as even just looking downward is enough to have them slightly slip. In general I do prefer working out with earbuds anyway just due to sweat, so that's not what I really bought these for anyway but thought I'd mention for any other petite women. Because of this, these are for sure going to be more for piano / computer / travel.BASS/SOUND:I feel like there was mixed reviews about the bass capabilities. Even with the BassUp feature off, I feel like the bass is great on these without distorting! I listen to Billie Eilish a lot, who is known for very bass-heavy music. Without BassUp, her songs sound well balanced (while still obviously bass-heavy). With BassUp on, you get that fuzzy feeling in your ears when the bass kicks in (but still no distortion). Speaking of Billie, she also utilizes stereo sound a lot (some sounds in left ear, some sounds in right) and it sounds great in these. Note that there is no transparency mode on these, but the Q20i model has that if it's a must for you.CONNECTIVITY:This was a big one for me, and probably the reason I am going to be returning these for the upgraded Q20i. I've been spoiled by my Airpods in terms of being able to switch between devices seamlessly (ipad/iphone/imac) without having to disconnect one device and re-pair the other. With this set, I have to go into my iPhone settings, disconnect, then pair with my computer and vice versa whenever I want to switch. It's a small annoyance but a convenience I really prefer.PRICE:I bought these on sale for $39.99 and I feel like that's a super fair price for the quality and buying from a reputable brand like Anker. I have several of their items, and they have great customer service. I'd much rather spend the extra $10-20 from the super off brands here on Amazon, just for the peace of mind that they stand by their products.
  
"
"10","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","Carl Payne","5.0 out of 5 stars","September 2, 2022","







  
  
    UPDATE: Added the 5th star.  Read the review with edits at the end.Wow.  I am rarely this blown away by consumer-grade peripherals, but I feel very compelled to write a glowing review of these headphones.I do a lot of audio work, and cans are ubiquitous.  I have some wired Sennies that I love behind the mixer, a couple wired Audio Technicas that have stood the test of time in the broadcast studio, and a pair of nice Sony BT cans with ANC, so I will be comparing these Ankers to the Sony model WH-1000MX3.Without question, Anker has come further, faster, than a lot of peripheral manufacturers.  The attention to detail in their products is exceptional, and downright attractive.  The build quality is great, the packaging is great, the functionality is great, the ergonomics are great.  My experience with their hubs is what leaned me toward their headphones.After a bad experience with in-ear phones on an airplane, I decided I really needed some over-the-ear headphones for flying, but I didn't want to carry around a $300 pair of cans that I only use a couple dozen times a year.  I looked on Amazon, saw the reviews, read the single-star complaints, and plunked down a whopping $60 (SIXTY BUCKS?!?!  Are you kidding?) figuring they couldn't sound that awful and would be perfect for the task.Let me assure you: these are the perfect headphones for flying.I like the idea that if they get lost or stolen, they're easily replaceable.  I love how well they fit (with a caveat, below), and they look great.  MOST of all, holy cow do they sound great!Pairing the first time was a little bit of a process, but that's to be expected the first time you play with a new toy.  After that, I put on my go-to sound check song (""Sacrilege,"" by Mentallo and the Fixer), cranked the volume way up, and listened.I have no idea what the THD or frequency range on these are, but I don't think I care.  The ""silent note"" at the 1:00 mark of that song came through so clearly, without even the slightest hiss or noise, that I was madly in love with them immediately.  The dynamic range is exceptional, there was no need for me to play with the super-duper-bass-button-doodad, I just let it play.The highs are crisp without tinny tones, the lows are deep without rattling the 40mm drivers (I'd love a set like this with 50mm drivers), just a very clean, direct, simple, uncomplicated sound quality that rivals the AT 500's I have and is absolutely on-par with the Sonys.So I tested the ANR.  I turned on the A/C in my office, reset Sacrilege, and played the beginning again.  The A/C, as expected, kinda dampened the experience, but not any worse than the Sonys.  I reset the song again, with the A/C on, and activated ANR (it's called ANC on the Sonys).  THIS is where the two headphones differ dramatically.With Noise Cancellation on, the Ankers outperform the Sonys.  Period.  It's a night and day difference, so if this is why you're considering these headphones, waste no more time and go get yourself a pair.In terms of tonal quality, I put these at the top of the list of any wireless earphones anywhere.  I mean it.  They're better than ANY earbud type I've listened with, they're better than every other OTE without ANR/ANC, and they're as good as the Sonys, but with better ANR.  They're better than any WIRED earbud, too, including the Sony IEMs I used to use back when everything had an 1/8"" jack.Sound is, as you would expect, not 'quite' as good as the higher-end wired ATs and Sennies.  I don't think Anker would mind me saying that, because they're a completely different application.  If you play MP3s and don't think they sound worse than lossless files, you wouldn't appreciate the higher-end phones, so go buy these right away.  If you can't hear compression noise in your satellite radio, then you won't appreciate the compression of BlueTooth and you should go buy these right away.That's quite a lot of good stuff to say about a pair of headphones that cost less than a decent dinner.There are 3 reasons for the 4 star review.1.  The ear pads are uncomfortable for my ears.  Not VERY uncomfortable, but enough that I have to adjust the phones several times during a 3 hour flight.  It might be that they're new and I just need to break them in.  If that turns out to be true, I'll adjust the review up a star.2.  The battery life isn't that great.  To be fair, I only need about 12 hours of battery life and I'll just recharge them.  However, the advertised battery life is estimated at 40 hours with ANR and 60 hours without.  My experience is that with ANR I get about 22-24 hours, and without I get about 48.  Now, I have not had these very long, so I've only timed my first recharges, so if it turns out the battery life goes up with proper use, I'll add the 5th star.3.  They don't fold up as small as the Sonys or even my ATs.  This one alone is not worth docking a whole star, but it's the only other complaint I have.  Carry-on space is so limited, and there's a pocket in my bag that the Sonys fit in, and these don't (not by much though).Hope that helps you make a decision.  I'm very happy with these, and I just might give them some airtime at sea level just for giggles.UPDATE January 2023: After using these headphones for a reasonable amount of time, I'm adding the 5th star.  The earphone cushions did ""break in,"" which I'm not crazy about (if it breaks in, it will break out), but they did become more comfortable.  Ordinary movement is sufficient to avoid the urge to move the head phones.  On a 3 hour flight, they're perfectly fine.  When they are new, the cushions are a bit stiff and I should have realized that, because my AT's needed their cushions replaced after umpteen years.Battery-wise, I am getting pretty close to advertised spec, but I have noticed that if you crank up the volume on your phone or player, then crank up the volume on the headphones, the battery life suffers dramatically.  Play with it a bit, adjusting device volume and then headphone volume until you get good sound without noise.Finally, I'll tell you that I like these so much that I bought a BT card for my PC.  These are pretty good for videoconferences, and they're nice to have while you run a buzzsaw or have screaming children next door and you just want to not be distracted.  I'll still prefer my Sennies for mixing, and I still prefer my AT's for ordinary focused PC work, but these cans are exceptionally good.  I cannot get over how good they are, affordable or not.Five stars.  When they wear out, or break, or otherwise stop making me smile, I'll just go buy another set.
  
"
