"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","Megan Taniguchi","5.0 out of 5 stars","March 3, 2024","







  
  
    As a caregiver entrusted with the well-being of a loved one, the importance of reliable and comfortable protective gear cannot be overstated. In my caregiving journey for my mom, I've discovered that MedPride Gloves are an indispensable ally, combining thoughtful design with utmost comfort for a seamless caregiving experience.Sensitivity and Dexterity:MedPride understands the unique needs of caregivers, and their gloves prioritize tactile sensitivity without compromising on protection. The gloves' thin yet durable material allows for a gentle touch, enabling me to provide assistance with precision and care. Whether helping with daily tasks or administering medication, the gloves offer a delicate touch that fosters a sense of comfort for both the caregiver and the recipient.Comfortable Fit:Caregiving often involves extended periods of wear, and the last thing one needs is discomfort or irritation. MedPride Medical Gloves feature a snug fit that feels like a second skin, minimizing hand fatigue and allowing caregivers to focus entirely on providing care. It is gentle on sensitive skin, making them ideal for individuals requiring extra care, like elderly parents. I have also never had it rip or had to worry about creating holes and wasting the product. They are very durable.Protection and Hygiene:Caring for a loved one often involves intimate tasks that require a reliable barrier against potential contaminants. MedPride Gloves, made from high-quality materials, provide a protective shield while maintaining a gentle touch. This is particularly crucial in caregiving scenarios where maintaining hygiene is of utmost importance.Affordability:MedPride Medical Gloves strike an excellent balance between quality and affordability. Caregiving often involves various expenses, and these gloves provide a cost-effective solution without compromising on performance. This is the only brand we buy from for caregiving for my mom. This is coming from a more expensive state such as Hawaii.
  
"
"2","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","Trees","5.0 out of 5 stars","March 13, 2024","







  
  
    We like them and use them for dealing with animal stuff like picking up dog poop and handling dirty things. Would recommend sizing up though, I have pretty small hands and we buy the XL size so 2 people with different sized hands can comfortably use them. They are a bit baggy on my smaller hands but they work well and get the job done. Pretty good quality, they rarely break while using them. Currently at a decent price, especially compared to a few years ago when they went up so high in price.
  
"
"3","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","CYJ","5.0 out of 5 stars","March 4, 2024","







  
  
    Great fit. Not as think as those in healthcare setting, but they meet the need. I use them when assisting a family member with toileting.
  
"
"4","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","WVTravel","4.0 out of 5 stars","February 11, 2024","







  
  
    I keep buying this product because they are aren’t flimsy
  
"
"5","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","Meg Taylor","5.0 out of 5 stars","February 16, 2024","







  
  
    Powder-Free Nitrile Exam Gloves, Large, Large (Pack of 100) is perfect for cleaning bathrooms.  I must say they are a little thin and break often- but the price to value is good.  I wanted the powder-free because you really don't know what is in the powder.  For my needs these Nitrile gloves work perfect and fit my hand perfect.  They do not fit a mans had as a LARGE so might want to find something bigger.
  
"
"6","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","radiowave911","5.0 out of 5 stars","June 24, 2023","







  
  
    I have purchased several boxes of these so far to use for a medical procedure I have to do for myself on a daily basis.  They work well for the intended use.  These are not very puncture resistant, so keep that in mind if you are purchasing these intending to use with sharp edges or items.  Out of about 300 or so that I have used so far, i had only 2 or 3 that tore while putting them on - and that could have been due to a sharp fingernail edge or something like that.  I have noticed that the thickness can sometimes be inconsistent (a lighter spot where they are more translucent - I do not have the means to actually measure thickness at this scale).  Of the ones that I had tear, none tore at one of these spots.Touch sensitivity is pretty good, I can feel what I need to almost as though I am not wearing gloves.  I also notice purely by chance that I can still operate the touch screen on my Samsung Galaxy S20FE mobile, although the fingerprint detection does not work (which is no surprise).  That touch works at all with these is a welcome surprise.These fit my hands well, without being too tight - I have had large size Nitrile gloves that feel more like small or medium.  Like all powder-free Nitrile gloves, these do not easily go on wet or damp hands.  I have yet to find a Nitrile glove that does.  I keep a container of 'baby powder' on hand for times I need to put them on damp hands - a small sprinkle inside the glove, shake to coat the inside, hands go in just fine.If I had to find an issue with these, it is the issue that every package of these types of gloves has - they tend to stick together in the package.  I often pull out more than I wanted because of them sticking together.  That is such a minor issue, and not one unique to these specific gloves - it is honestly the only thing I can find that is even close to being an issue with these.Would I buy these again?  Been through almost 3 boxes so far, have another unopened waiting for me.  When I open that one, I will order another.  Maybe I should look into case pricing on these given a box doesn't quite last me a month (with no punctures or tears).If you need a reasonably thin Nitrile glove to protect your hands from fluids, these are a good fit.  I would certainly recommend them for that use.  I would also use these for light cooking use, and light cleaning.  I would not use these for heavy duty scrubbing, though.
  
"
"7","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","Christine Locke","5.0 out of 5 stars","March 2, 2024","







  
  
    These gloves are very easy to put on and have a secure fit, don’t rip easily and make me feel confident that I’m protecting my hands from contacting germs.
  
"
"8","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","Colby Yates","5.0 out of 5 stars","February 24, 2024","







  
  
    These gloves are highly recommended, especially for individuals with larger hands. Their comfortable fit and ample sizing make them a practical choice for those seeking gloves that accommodate larger hand sizes. If you have big hands, these gloves offer a comfortable and well-fitting solution for various tasks.
  
"
"9","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","S. Tescione","5.0 out of 5 stars","March 28, 2024","







  
  
    When I clean the oven, I use heavy-duty rubber gloves. Nitrile gloves are ok for a spot cleaning in the oven, but not the entire oven. They are great for other types of cleaning, such as the bathroom. And they excel for cooking. If I am making anything with beef or pork, I put these on. You can wash right over the gloves. So let's say I have bought meat at the grocery store and repackage it into meal-sized portions for the freezer. I have chicken, beef, and pork. Just slip these on and when I an done repackaging chicken, I wash my hands with the gloves on and use dish soap. Then I move onto beef, and do the same thing: wash my hands with gloves on and move to pork. When I am done repackaging, I remove the gloves using universal precautions and then toss them into the garbage. Then I wash my hands without the gloves. It makes me feel very safe. When I am cooking messy things, I wear them. You have full range of motion with your fingers, so they are great for mixing meats for meatballs and meatloaf, tuna for fishcakes, or breading pork and chicken. I highly recommend thee gloves for any messy task that does not require heavy duty gloves. Before you order, check the size. Very few people will take small, so make sure the proper size is listed in the description before you check out. Most women will take medium and men will probably take large.
  
"
"10","MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100","S. Tescione","5.0 out of 5 stars","February 28, 2024","







  
  
    Disposable gloves are the best thing since sliced bread! I use them for everything! I'm one of those who can stand my hands to be dirty or all gummed up., That's why I can't make biscuits....can't stand that gooey dough on my hands. That's when these gloves come in handy! I use them in the kitchen more than anywhere else. Perfect for mixing meat loaf, breading meats or veggies with flour, handling raw meats, etc. Used them once to transplant a potted plant when  I was in a hurry. Convenient for cleaning house, bathrooms, potties, etc. Great for making Crafts and handling glue.The list is long  These gloves stay on very good and make your chores a little bit easier. I always try to keep an extra box! I have a granddaughter, that she too can't stand for her hands to get dirty. I suspect she will be a ""disposable glove girl"" too!
  
"
