"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Dark Lover","5.0 out of 5 stars","March 26, 2024","







  
  
    Strong  1-ply that gets the job done!  Scott ComfortPlus surprised me with its thick & comfy sheets.  Double rolls lasted forever (great value!)  & septic-safe!  ✅  Perfect for everyday use!
  
"
"2","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Micky Cox","5.0 out of 5 stars","March 10, 2024","







  
  
    Safe for septic tank use, soft yet durable to get the job done. Pretty pattern to look good hanging on the holder. The price was super competitive and it gets dropped at my door. Can't ask for more than that!
  
"
"3","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Amazon Customer","5.0 out of 5 stars","March 27, 2024","







  
  
    This ripply toilet paper is soft and strong. Rolls seem to be not as big as some others, but a relatively good buy.
  
"
"4","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","sandra Lujan","4.0 out of 5 stars","March 10, 2024","







  
  
    Very nice one ply. Not thin.  But rolls are on the small side as not tightly wound.  They are squeezable like the old ad.  Quality is appreciated!  Good job in their choice of tissue to use.
  
"
"5","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Imran Khan","5.0 out of 5 stars","March 2, 2024","







  
  
    Scott is a cost effective bathroom tissue. I have had the first roll for over a month and it's still had a quarter of the roll left. It does its job well. It soft and holds all the water. It also dissolves quickly in the toilet. Great cost effective toilet roll.
  
"
"6","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Sandra","5.0 out of 5 stars","March 24, 2024","







  
  
    It's soft and thicker than most cheap brands I really wasn't expecting that for the money. The rolls are smaller than I expected though. I usually buy mega size for my t.p. holder but, I would buy it again.
  
"
"7","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Kayla","5.0 out of 5 stars","March 27, 2024","







  
  
    In this day and age, it’s hard to find affordable toiletries that are still great quality. I really like this brand but don’t really buy it in store because of the price so I was glad when I found it on Amazon
  
"
"8","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","P. Snow","4.0 out of 5 stars","March 27, 2024","







  
  
    Always buy this toilet paper, but this time had two undersized rolls. You want cheap, Scott’s isn’t the value it was.
  
"
"9","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","P. Snow","5.0 out of 5 stars","March 12, 2024","







  
  
    I like SCOTT toilet paper because it typically lasts longer than most other brands. I don't mind it being a bit tougher. I don't use dry paper often. I mostly use wet wipes. But keep dry paper on hand occasionally or for blowing my nose and such.Anyway. This comfort plus goes way too quickly. I tried using less and I still go through it really fast. It feels fluffy like it'll be softer on the sensitive areas, but I found it actually made me more dry and sensitive when I used it.I'll stick to traditional SCOTT toilet paper.
  
"
"10","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Jackie","4.0 out of 5 stars","March 28, 2024","







  
  
    I never seen the comfort plus brand in my local stores so I decided to try it.  Definitely softer than the original but not as long. You can't go wrong with whatever your preference is, length or softness. I'll see how Iong this pack lasts but glad I was able to try it and I can come back here for more if needed.
  
"
"11","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Alicia","5.0 out of 5 stars","March 29, 2024","







  
  
    I read a lot of reviews on this product obviously they have never bought the single rolls of Scott comfort plus toilet paper before. Yes there are less sheets per roll than some major brands but it clearly states that in the listing. In my opinion it is definitely worth the price!
  
"
"12","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Reliable and Comfortable","4.0 out of 5 stars","March 17, 2024","


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    
For my home, I recently switched to this product, and I couldn't be happier with how well it works. Each pack has 12 double rolls, so it's a good deal for the money. With every use, the robust and absorbent toilet paper offers a pleasant and efficient cleaning experience. I like that it's septic-safe since it gives me comfort in knowing that there won't be any plumbing problems. Because there are sheets on each roll, they last longer between replacements and are a useful option for those with active schedules.One disadvantage that should be noted is that, although being one-ply, some users-especially those with sensitive skin-might prefer a thicker toilet paper for extra comfort and softness. Although this toilet paper works well, some people might not find it to be as fluffy as they would like. Therefore, you might want to think about other options if thickness is more important to you than efficiency. In spite of this, this toilet paper is still a dependable option for regular usage.
  
"
"13","Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Reliable and Comfortable","5.0 out of 5 stars","March 28, 2024","







  
  
    but…..the guy who make the delivery was on the phone arguing with somebody and just dumped the box there and knocked the door pretty hard like if was the person who was on his phone but thanks anyway
  
"
