"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Stacy","5.0 out of 5 stars","January 2, 2024","







  
  
    Like the item's quality, it’s sleek not bulky at all. The handle is not flimsy. I like the screen protector flap inside and how it can hold eight games on the other side of the flap. It fits my Nintendo Switch OLED perfectly!
  
"
"2","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","HobbesGrrr","5.0 out of 5 stars","April 8, 2017","







  
  
    This is an excellent case for your new Nintendo Switch. I ordered it the day it was put on Amazon for an amazingly low price, so I did not have high expectations, but I am happily surprised at the high quality of this case.  The case is hard enough to fully protect your Nintendo Switch, yet flexible enough to fit in bags and carry everywhere with you.  The case has nice little rubber handle and zips shut. There is no zipper on the inside of the case.Inside you will find it is lined with a soft microfiber. There is a mesh pocket on the top that goes about 3/4 of the way up and holds a ton of stuff. The bottom of the case has a double sided flap. The top holds 8 cartridges and the bottom is padded to fully protect your Nintendo switch screen. The bottom of the case is form molded to hold your Nintendo Switch perfectly and even has loose fitting elastic on each side to help secure it in place. I originally bought the officially licensed Tough Pouch, but much prefer this one. They are almost identical in size and appear to be made about the same way. The pouch is a fraction thinner and does not have a handle. It has almost the same inside except not as useful. The flap that protects the screen is sewn at the top and does not fully protect the screen on the touch pouch, where this one is on the bottom and fully protects the screen. The Orzly case holds 8 games and accessories and the tough pouch only holds the switch and 5 cartridges.  Another thing I love about this case is that it is simple and black. There is no advertising on it anywhere and no way for thieves to know you are carrying an brand new Video Game Console.Please see photos for more details and please excuse the crappy screen protector I have on the Switch in these pics. The 5th picture shows the Orzly pouch on top and the Tough Pouch on the bottom for size comparison.Highlights:* Holds 8 cartridges or micro SD cards* Large Mesh Pouch can hold all cords, chargers, or an accessory. I even fit 2 entire game cases in the pouch!* Large soft screen protector sewn into case.* Handle for carrying the case.* Lightweight, yet strong and durable.* The Soft, microfiber interior protects your console and controllers from everyday wear and tear, bumps and scrapes.This case is well worth the $25 it retails for and the case I compared it to is currently selling for $40! Only issue I had was that it was sent in a bubble mailer, so the outside box was crushed. This would be a problem if it were a gift, but it did not affect the actual product in any way.
  
"
"3","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","HobbesGrrr","5.0 out of 5 stars","December 16, 2023","







  
  
    After spending big bucks on my Granddaughters Nintendo Switch I realized “Holy Cow” I bought nothing to protect it!! She is only 8 and walks around with it and uses it in the car. When I drop my cell phone  I am always glad I have a case! I immediately ordered this one and it’s perfect, a safe place for everything and a sturdy handle for on the go!  Not expensive and she always uses it!
  
"
"4","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Janice","4.0 out of 5 stars","November 22, 2023","







  
  
    Overall the product is great. However, one of the complaints I have is that whenever you try to put in the Joy Con Grip in the case, the cause becomes extremely bulky, and it causes me to worry that if ever drop the case that it might crack my switch's screen. Also, obviously you can't put an elite controller in the case which sucks because you either need a separate bag or you have to carry it in your hand. Otherwise the case is EXTREMELY good, the bands that hold the switch is great, the pockets that hold small accessories are amazing (it can hold the charger and extra joy cons), and the zipper & sturdiness of the case is phenomenal. Therefore, I would highly recommend getting this case even if it is on the pricier side.
  
"
"5","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Tayef Mahmood","5.0 out of 5 stars","September 25, 2023","







  
  
    When I'm spending the weekend out of town, I use a nice, big carrying case the can hold the whole system set up. That's great for a whole weekend, but when I'm going to be stuck someplace boring for an evening or just a few hours, now I can take what I need to stave off boredom without having to carry everything I own. This case is sturdy enough that I don't have to worry about breaking anything and roomy enough to hold extra controllers, cords, games, or anything else I can't live without. And it still fits in my purse. Great product!
  
"
"6","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Kim Bowie","5.0 out of 5 stars","March 1, 2020","







  
  
    I use this case for 90% of the instances where I leave the house and take my switch. I don't take it with me on a daily basis but some weeks I'll take it to work at the office for all 5 days. I've also taken it on vacation for a week in Las Vegas.It's rigid enough to protect the items inside but it's got a smooth exterior with no sharp edges so it's not a danger to anything around it. The zipper quality seems fine and I don't have any worries about breakage there. The carrying strap is a nice length such that it's actually practical. For anyone that's concerned about it fitting in the pockets of your pants, it likely won't.The interior has enough space for the console, some game carts and a couple cables (but not the power brick). The lining and materials of the interior are soft and won't scratch the Switch screen. The straps to secure the Switch inside are a nice touch and appear to be durable. There's a good amount of give to the straps but enough tension to safely secure without putting excess pressure on the Switch. I haven't attempted to put a backup set of joy-cons inside so I can't comment on whether the pictures in the product description are accurate or not in regards to that.It's good enough that I'm not shopping for an alternative case in this size.
  
"
"7","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Anonymous","5.0 out of 5 stars","October 3, 2023","







  
  
    This carrier for the Nintendo Switch is really nice. It holds everything it needs and honestly, the quality is great. For as many times as this thing gets opened, the zipper appears to be holding strong. I'm happy with this purchase.
  
"
"8","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Brett DeJager","5.0 out of 5 stars","February 13, 2024","







  
  
    Love the organization! It’s great for travel!
  
"
"9","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Amazon Customer","5.0 out of 5 stars","March 31, 2024","







  
  
    Great quality
  
"
"10","Orzly Carry Case Compatible with Nintendo Switch and New Switch OLED Console - Black Protective Hard Portable Travel Carry Case Shell Pouch with Pockets for Accessories and Games","Amazon Customer","4.0 out of 5 stars","March 28, 2024","







  
  
    Can fit the charger but its a little tough to close
  
"
