"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Mairi Funk","5.0 out of 5 stars","January 11, 2024","







  
  
    I recently purchased the SENSYNE 62"" Phone Tripod & Selfie Stick, and I love it!!. As a new and upcoming photographer. I was on the lookout for an affordable yet reliable selfie stick that I could take with me anywhere that was not too heavy, and this tripod/selfie stick combo has proven to be an excellent choice. I am very short and could never hold the phone and take pics at the same time. This extendable feature of the tripod allows me to capture shots from various angles and heights, providing versatility to my photography. The 62-inch height is particularly advantageous for group photos or capturing stunning landscapes. The ability to transform it into a selfie stick adds an extra layer of functionality, making it an all-in-one solution for my photography needs. I don't have to stretch to get the perfect picture anymoreOne of the standout features, that I like is the wireless remote, which adds convenience to my photo sessions. Being able to control the shutter remotely ensures that I can be a part of the frame without any hassle. The setup is incredibly user-friendly, making it perfect for someone like me who is just starting in the world of photography. I love the price and the look of this stick. Highly recommend it!Not only is the SENSYNE 62"" Phone Tripod & Selfie Stick cost-effective, but it also delivers on performance. It's an ideal companion for any aspiring photographer, offering a seamless blend of affordability, ease of use, and functionality. I highly recommend this product to fellow beginners or anyone in search of a reliable and budget-friendly tripod/selfie stick solution.
  
"
"2","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Mairi Funk","5.0 out of 5 stars","April 2, 2024","







  
  
    The 62"" metal tripod collapses to about 18"", easily adjust to any height up to 62"", the phone holder provides a secure spring grip for the phone and can be adjusted to multiple angles/positions to include the ability to photo items on a table. Followed the instructions to activate the remote bluetooth for the camera (comes with the battery on/off switch). The item also comes with a mount for a go-pro camera. I ran a small bead chain (not supplied) on the remote and looped it on the tilt adjust knob for ready access. Very pleased with the quality, unlimited adjustment features, can be used as a selfie stick, easy to follow instructions, a great photo tool to add photos to a photo frame.
  
"
"3","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","E IN MARYLAND","5.0 out of 5 stars","March 30, 2024","







  
  
    I bought this for my wife for Xmas so we can get her in or family pictures too. That and so I don't have to do those long reach selfies to get everyone in the picture. We took this on a vacation and it worked great. The remote is awesome. The stand is awesome. Worth the money.
  
"
"4","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Jerad","4.0 out of 5 stars","February 14, 2024","







  
  
    So there are only specific angles you can set to point your phone camera up or down…so if you need just a little more down, you have to go about a quarter of an inch down…you can just lift the extensions up…but the extension heights have a lot of adjustments so you can really get a good height…I use this to video tape my terrible skateboarding skills to improve where I may be doing something wrong…before this I was just leaning my phone against a wall causing damage to my phone…this was a great idea that I can just quickly and effortlessly set this up and start recording.  Phone fits very nicely with just a little bit of room to snap the phone in place…wide legs to make sure it doesn’t tip over.  Very light and compact too…a great addition to my video set.  I would recommend.
  
"
"5","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Joel R White","5.0 out of 5 stars","December 14, 2023","







  
  
    I recently invested in the Sensyne 62"" Phone Tripod & Selfie Stick in sleek black, and it has proven to be a versatile and indispensable tool for capturing moments on the go. As someone who loves photography and values convenience, this multipurpose device exceeded my expectations.The extendable design is a game-changer. The tripod extends up to 62 inches, providing the perfect height for group shots, landscapes, and creative angles. Additionally, the functionality as a selfie stick adds a whole new dimension to capturing those personal moments. The adjustable height options make it suitable for a variety of shooting scenarios.The wireless remote is a fantastic addition. It syncs effortlessly with both my iPhone and Android devices, allowing me to capture photos or start video recording from a distance. This feature is a game-changer for solo travelers or when you want to include yourself in the frame without the awkward selfie arm.The phone holder is sturdy and adjustable, accommodating various phone sizes securely. It holds my device firmly in place, giving me confidence that my phone is safe and stable during photo sessions. The 360-degree rotation capability also allows for seamless transitions between portrait and landscape orientations.The build quality is impressive. The tripod is lightweight yet durable, making it easy to carry around without sacrificing stability. The black finish gives it a sleek and professional look, adding to its overall aesthetic appeal.The versatility of this device goes beyond just photography. I've used it as a makeshift phone stand for video calls, live streaming, and even as a stable base for my compact camera. It's a true all-in-one solution for anyone who values convenience in their photography gear.In conclusion, the Sensyne 62"" Phone Tripod & Selfie Stick is a must-have for anyone who loves capturing moments with their mobile device or camera. The combination of functionality, portability, and sleek design makes it stand out in a crowded market. If you're in search of a reliable and versatile tripod, this one ticks all the boxes. Five stars well-deserved!
  
"
"6","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Joel R White","5.0 out of 5 stars","March 20, 2024","







  
  
    A year after purchase this stand gets used at least once a week and we've had no problems at all with it. The bright color makes it easy for the crew to see when we're doing hectic live sales online. Absolutely would recommend. Very sturdy, easy to use.
  
"
"7","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Michael Nguyen","5.0 out of 5 stars","April 2, 2024","







  
  
    This tripod has good weight and is stable. It has good construction and is easy to use. It is tall enough for most people. I am 6'5"" and with the phone mount, my screen is about neck high, which some may say is too low, but it works well for me. I probably should have gotten the 67"" and my screen would have been face level. My phone is a OnePlus 11, the remote control only zooms in, it did not take pictures. The instructions say the app will help if there's any trouble with the remote, but I haven't tried downloading the app yet. Overall, I am very pleased with my purchase!
  
"
"8","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Jill","5.0 out of 5 stars","March 21, 2024","







  
  
    Super happy with this product for the price point. Strong enough to hold my phone in all different positions. Doesn’t easily tip, etc. Adjusts to be quite tall, and is super easy to set up/ use. Would recommend!
  
"
"9","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Amazon Customer","4.0 out of 5 stars","April 8, 2024","







  
  
    My first tripod broke on the base so I decided to order a new one from the same brand. They updated the design which does not allow me to remove the part that may connect a camera. It does its job, but I do not like this change, as I originally used it for both recording and wig styling, so I cannot put the wig head on. But, if you are looking for a sturdy tripod this should do the job as I have spent an hour trying to remove it to realize there is a bar that does not allow the removal of the camera attachment.
  
"
"10","SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera","Nissa","5.0 out of 5 stars","April 2, 2024","







  
  
    I'm an RV inspector and an constantly recording videos and taking photos of things moving, running, breaking, and catching fire. This tripod is great. It's lightweight, the camera grip is strong but flexible, and the adjustable height mechanism is perfect for a wide range of recording angles. I've been through three tripods in the past year and this one has exceeded the build quality and height for value of all three. I'd buy this again in a heartbeat if it got stolen.
  
"
