"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","SPARDA$$","5.0 out of 5 stars","March 19, 2024","







  
  
    The set is great and sounds great. Easy to connect and I rarely have to charge the case  or them up. So it's a 5 star item to that I can say. And the price great too. So I could afford it. But no problems I'm have with the ear buds.
  
"
"2","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Tiffany Unrath ","5.0 out of 5 stars","February 29, 2024","







  
  
    I was a little skeptical at 1st. Being the price was low and their headphones so you don't really know till you use them. I love them!!! They are loud and when I'm on public transportation they do a great job of blocking out all the noise. The sound is clear and loud. They are easy to use. The battery last long and charges fast. They're comfortable. I haven't found one thing to complain about.  I definitely recommend them. Great especially for the price.  They're better than the last ones I paid $75 for.
  
"
"3","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Heather G","5.0 out of 5 stars","March 9, 2024","







  
  
    Due to other favorable reviews, I decided to try these when they were on sale. I am impressed with how great they are. Sound is good, charges fast, holds charge for a long time (I wore them all day at work and they were at 91% when I left), they pair super easy and they don’t fall out of your ear like Apple products. No complaints.
  
"
"4","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Park City JJ","4.0 out of 5 stars","November 8, 2023","







  
  
    These are great headphones for the price. I had a pair of AirPods that I used for years and they finally died and I didn't want to spend the money on new AirPods...so I bought these. I do a ton of Mtn Biking and trail running and I love them so far.Pros:-They pair immediatley on any bluetooth device.  You don't need to do the whole ""press a button for 20 seconds"" thing to pair like other headphones.-They fit great.  They come with 3 diff sizes of silicone ear buds. The default out of the box is installed with the medium buds and they fit great. Also, they are designed with an extension that wraps around the back of your ear which almost guarantees they will not fall out.-They are super light and the case is super light.-They charge fast and hold charge for a long time. I easily go over a week or so without having to charge.-The  sound is great and the controls are simple and easy to use directly from either side.Cons:  (Only 2 cons here but they both bother me which is why I am only giving 4 stars)-The charging case: As much as I love the lightweight and rapid charge...here is the problem: The shell of the case is SUPER slippery.  Like ""trying to hold a rainbow trout"" slippery.  I probably grab the case and it shoots out of my hands at least 5 times a day. I mean it when I say the case ""Shoots"" out of my grasp.  They need to use some sort of silicone on the shell. As a result,  I am looking for an aftermarket shell cover.-As much as I love the pairing...there is a downside: It automatically ""re""-pairs to the last device you used with the headphones.  If you want to use a different device next time, I find that I have to go into the previous device and ""unconnect"" the headphones in order to connect with new device. I use them overall with 5 devices- my iPhone, iPad, MacBook, AppleTV and Firestick.  It can get tedious...especially if you don't remember that last device you used. I know.... ""Champaign problems"" but still....Over all...I would 100% recommend these.
  
"
"5","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Kandice","5.0 out of 5 stars","March 10, 2024","







  
  
    My regular ear buds kept slipping out while sitting around even with the smallest ear pieces. I decided to get some over-the-ear buds. I googled the best ones and these were one of the options. It also listed as best seller on Amazon. I was skeptical how good they would be for the price, but honestly they're great! For basic listening it has great sound. I switched to the smallest fitting and they are snug and comfortable! Only downside which is no biggie is the case is slippery and the lid when you open it feels flimsy and will easily close on you. But again, for the price I really don't mind!
  
"
"6","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Kandice","5.0 out of 5 stars","March 7, 2024","







  
  
    The case charges quickly and can go several days before it gets low (under 20%). I use them mostly at work so I can only use one at a time. With the long life of the actual earbuds plus the charging case, I rarely need to charge it. Battery life deserves more than 5 stars honestly.I bought on sale both times and it has been one of the best money to quality ratios I have had.Only negative for me is that with both in it is hard to hear any outside sounds. I work at a camp so outside of summer there are only two to three other people here most of the time. Plus out doors I need to be able to hear some. That is why I usually use just one at a time. But that means it is great at blocking noise so that might be a positive for someone else.
  
"
"7","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Elizabeth Allen","5.0 out of 5 stars","March 14, 2024","







  
  
    I love that the color was exactly as it looked online.  Great color choices.  I like that the earpieces are soft and fit nicely around my ear.  I also have small ear canals so the smaller foam buds worked great!!!
  
"
"8","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Shop Smart","4.0 out of 5 stars","January 21, 2024","







  
  
    Very happy with these. Personally, I think that ear clips are a must for ear buds so they don’t fall out. The case is fairly small and easy to stow, but pretty solid & protective. Sound quality is fine.Battery life is excellent. You take the ear buds out of the case, and they automatically turn on and connect to your nearby paired mobile device. You put them back in the case, and they automatically turn off (which pauses the music on your mobile device) and start charging. Unless you make very heavy use of them, you can go for long periods without needing to charge the case. Just don’t lose the case like I did (sigh…).One odd design issue is that, when you open the case normally, the right ear bud is on the left and vice versa. I don’t know why they did it this way since it makes them slightly more awkward to put on. The simple workaround is to open the case upside-down, which is easy enough.
  
"
"9","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Amazon Customer","5.0 out of 5 stars","October 23, 2023","







  
  
    These earbuds are the VERY FIRST that totally stay in place and in my opinion fit perfectly on any ear as the wrap around the outside of the ear is flexible (and so comfortable).  I have very small ear canals and I can't say how many other earplugs over the YEARS I've bought that just won't stay in my ears. I had honestly given up until this pair - for some reason, I took another chance as I listen to audiobooks and I can't play them in waiting rooms or wherever vs read and you get the gist. I was ecstatic.  I'm taking forever to write this review so I can help someone who may need it.The pictures and description on this website are accurate EXCEPT the color.  I picked the green but the green I got is a dark green, not the bright color in the picture I had wanted,  I had to just now hold it to the light and be sure it wasn't black. I got a 2nd pair bc I can't find what I did with them - nothing to do with the product. So looking at the 1st order geez only in August 2023 per past Orders on Amazon I  happened to pick the same green but it's not the same - definitely not.  I'm not exchanging them but I liked the other color - the one in the picture - much more. There is no color shown on the website that matches the color I received. I may call customer service and put it on the record, in case. So again 2 months ago I bought the same pair - green though I didn't remember - the order says the pair was $29 with a $6 off coupon for $23!!!The product now has a red tab where the buttons that you click to turn the earbuds on and off, volume, and answer the phone. There are now THREE BUTTONS vs two from before. There are two raised black buttons on the inside of each earbud and now there is one round silver button that powers the earbud.  It says ""power on"" or ""power off"" when you click the silver buttons, no confusion!  You can see the silver button on each earbud when you open the case.  Remember, this lets you turn on only one for use vs always two.  You need to ""pair"" these which is so easy, just do a Bluetooth scan. I just shook my head and bent down - no problem at all. It comes in a nice black plastic carrying case that snaps shut and each earbud individually fits in its place in shape (vs just loose inside).  I bought these again bc I couldn't remember where I put them.  At this price point (an unbelievable $39 then a checkmark gives ANOTHER 40% off at checkout equals just under $23!!!).The earbuds come in and MUST BE KEPT in THIS black case when not in use or when you're done using them. Without the case, you can't charge the earbuds,  The black plastic case when open shows you the charge % left from 0% to 100% (I'd say it fully charges in 2 hours. I plug the container in overnight.  It  does NOT need recharging often and there is NO GUESSWORK.NOTE:  WHEN YOU OPEN THE WHITE BOX which HOLDS THE BLACK CONTAINER WITH THE EARBUDS FITTED WITHIN, YOU NEED TO LOOK INSIDE THIS WHITE BOX FOR A SLIM WHITE PIECE OF THE BOX THAT LOOKS LIKE IT'S JUST THERE TO FILL SPACE. HOWEVER, INSIDE THAT BLANK WHITE THING ARE THE EXTRA EARBUD SIZES AND THE SHORT UBB CHARGE CORD OF ABOUT 6-8"".  THE CASE IS THE CHARGING STATION INTO WHICH YOU PLUG THE SMALL SIDE OF THE USB CORD.I'm not going to do any more proofing or editing.  I am not associated with these earbuds except they are great for ME.  It literally took me over an hour to write this review.  Excuse any errors, pls.
  
"
"10","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black","Donna","3.0 out of 5 stars","February 7, 2024","







  
  
    New review: It's been a few days and the mic quality was good for the first day then awful the rest of the days.  I'll keep these because it seems good for audio books and walks, but they don't seem too good in general.  Worth maybe the 28$ for the convenience and battery power, and a good fit.  They're comfortable on the ear which is worth a lot for me.  But definitely not worth that full price of 70$, too poor and inconsistent quality for that much money.  If I had got them full price I'd get a return, but for the half off sale I'll keep them.Old Review: I just got these today, and they arrived charged.  I'm writing this review because I am very pleased.I am a soprano and have a high pitched voice, lots of mics won't pick up my voice.  This mic does pick up my voice and transmit it whether I am calling on my cell phone or calling with an internet phone proxy like discord.  The only time it doesn't pick up my voice is when I am doing something (like cutting cardboard, or folding cardboard, or moving bubblewrap, then the mic is too weak to transmit my voice).For phone calls, the mic works consistently, my voice is quiet but the volume does not fluctuate.Listening to sounds from my phone works great.  For music, it plays smoothly without static on bluetooth with wifi.  The volume buttons work on both sides, this is for both right handed and left handed people.One thing I found a bit weird was that the charging case said they were about 90, it was vacillating between about 85 and 95, imprecise, and stayed at about 89.  When I connected to my phone, my phone says they are 100% charged.I'll see how that plays out, I am not sure I like the inconsistency.I really loved the packaging, it was sleek and had clear instructions on how to make your waranty with the company Bmani.  The instructions for how to use the earbuds were also clear.  I'll probably keep the packaging until it falls apart like how I keep Apple packaging.The case the earbuds charge in is super sleek, it has a weak magnetic clasp that isn't difficult to open.  I already have insulation foam and just put two touch points on either side of the case to deal with the slippery ness of the case, which is making it a lot easier to keep a hold of the case while flipping the lid open and closed.  I'm clumsy, but other people could also benefit from having some silicone on the edge of the case to keep a hold of the earbuds.My ears are a big small, the around ear part of the earbuds feels a bit too large for me, but its comfortable.  I switched out the silicone earbud with the smaller size, they arrived equipped with the medium size and had a smaller and larger piece inside the packaging, it was easy to do when you use force to just bump the earpiece into the earbud.  I don't see the string they advertise comes to connect the earbuds in the packaging, I know someone else mentioned receiving that.Overall the only issue I have is that I did not receive the strap that connects the two earbuds to each other securely.  I have no idea how to test the sound cancellation quality.When I take off the earbuds and put them on the table, I can't hear my friend talking on my earbuds when I am 1ft away from them.  This is good, only you hear when you're wearing the earbuds, everyone in the room can't also hear your conversation.
  
"
