"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Scrupulous Shopper","5.0 out of 5 stars","February 1, 2024","







  
  
    I like this better than my donut phone holder. This one is sturdy and I can leave my charging cable in while it’s on the stand. I like that it sits up higher. Great supports holding my iPhone and it folds up compactly. Get one of these DP 01 Phone Stands or several like I did .
  
"
"2","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","JJ","5.0 out of 5 stars","March 30, 2024","







  
  
    Well balanced and sturdy and holds phone with no issues but the hinges are really tight
  
"
"3","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Amazon Customer","5.0 out of 5 stars","March 29, 2024","







  
  
    This stand is simple and sturdy! It does what it is supposed to do with no fuss!
  
"
"4","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Bradley J Stevensen","5.0 out of 5 stars","February 26, 2024","







  
  
    works great and is very sturdy.  If you want a simple phone stand this works with most if not al phones and folds up for simple storage or transportation
  
"
"5","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Amazon Customer","5.0 out of 5 stars","January 17, 2024","







  
  
    Love the size and easy adjustment… sturdy and compact.  Perfect!
  
"
"6","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","MJM","4.0 out of 5 stars","April 25, 2023","







  
  
    I was looking for a phone holder stable enough to be able to use the phone while sitting in the holder. This is a descent holder. It's a little light weight, but the wide base allows it to hold steady on the table while using the phone. I bought 7 holders to try out, and I ended up keeping this holder.
  
"
"7","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Sarita","5.0 out of 5 stars","February 26, 2024","







  
  
    For resting my phone and for talking to somebody when cooking or doing something else!!
  
"
"8","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","rnolter","5.0 out of 5 stars","October 31, 2023","







  
  
    Excellent value!  I bought this for work. But after having it at home for a little while my wife really enjoyed using it. She uses it while she cooks to hold her phone off the countertop making it easier to see the video or read the recipe and keep her phone away from water. She uses it for reading etc…. I had to buy another one!  Now my daughter has her eye on it.
  
"
"9","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Aleksey Layne","5.0 out of 5 stars","April 6, 2024","







  
  
    Such a comfortable device, I got one for me and few more for family everyone love it. Thank you.
  
"
"10","Lamicall Adjustable Cell Phone Stand Desk - Foldable Desktop Phone Holder, Cradle, Dock, Compatible with iPhone 14, Plus, Pro, Pro Max, 13 12 X XS,4-11'' Phones, Office Accessories, Smartphone Sliver","Gilberto Castillon","5.0 out of 5 stars","March 20, 2024","







  
    excelente accesorio para teléfono celular, útil para recargar la batería, cómodo para escuchar música en tu cel. etc. etc. etc.
  
  
"
