"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","PopSockets Phone Grip with Expanding Kickstand, Black","Ricki","5.0 out of 5 stars","March 22, 2024","







  
  
    So I've always had a pop socket on any phone case I've had for the grip. What I dislike about them is that the design always wears off after time, and once stuck to a case, they're impossible to ever remove. I got a new phone and had to purchase a new phone case. The case I bought said it was 'MagSafe compatible', so when it came to purchasing a pop socket for the new case, I got this one. I've never used the magnetic line before. I LOVE that I can remove my pop socket now at any time, and that I can actually use a car mount as well! My old pop sockets made it so I never could. I will definitely always be purchasing the magnetic pop sockets in the future- though I don't think I'll need to ever re-purchase because I can simply remove this one and put it on a different case!
  
"
"2","PopSockets Phone Grip with Expanding Kickstand, Black","Amazon Customer","5.0 out of 5 stars","April 5, 2024","







  
  
    Popsockets are great with certain phones. I have a zfold 5 and it makes it so easy to hold when the phone is unfolded using the big screen. My only advice is get it from the real Popsockets store here in Amazon. Not a reseller or knockoff. It says on corner of screen ""shipped or sold by popsocket"". The fake ones don't stick.
  
"
"3","PopSockets Phone Grip with Expanding Kickstand, Black","Joe GoodVibes","5.0 out of 5 stars","March 11, 2024","







  
  
    The PopSockets Phone Grip with Expanding Kickstand in Neon Pink is an absolute game-changer! Not only does it work great as a phone grip, providing a secure and comfortable hold, but the expanding kickstand is also incredibly convenient for hands-free viewing.I love the vibrant neon pink color, which adds a fun and stylish pop to my phone. It's a great way to personalize and accessorize my device while also adding functionality.The adhesive backing is strong and secure, ensuring that the PopSocket stays firmly in place on my phone. Plus, the collapsible design makes it easy to adjust and fold flat when not in use, so it doesn't add bulk to my phone when I'm not using it.Overall, I'm extremely impressed with the PopSockets Phone Grip with Expanding Kickstand. It works great, looks fantastic, and adds both style and functionality to my phone. Highly recommend!
  
"
"4","PopSockets Phone Grip with Expanding Kickstand, Black","Elizabeth 🖤","5.0 out of 5 stars","April 7, 2024","







  
  
    It’s been a few months with this popsocket and I love it. super durable and works as a kick stand. I got it to match my case and it makes it easier to hold my phone when I use it!
  
"
"5","PopSockets Phone Grip with Expanding Kickstand, Black","Elizabeth 🖤","4.0 out of 5 stars","November 4, 2021","







  
  
    This is a different version that the one I used to own. The pop out part is on the cap (push down and twist like medical pill bottle to release) and not at the base (pop out 4 holding grooves to release). This version technically has wireless charging compatible (more on this later). If you have a lot of the older version popsocket, know that the caps don’t work on the new version.Been using popsockets for at least half a decade now. Very functional with some minor inconveniences that I must work around, but overall worked well for me.What I love about is it that it provides better grip when holding the phone. Now if I use a phone without it in public, feels like anyone can snatch my phone off my hand at any second, or I’m afraid I may  accidently slip off my hand and drop the floorCan get better reach with fingers while still providing grip on the phone if you carry a larger phone.Also great as tabletop/kicks stand when I need it. Tend to use it all the time when watching steaming videos while eating or on casual video calls. No need to bring additional stand accessoryThere are some official accessories for it that I use, but also made some DIY ones. For example, if you have magnet attachment phone mount, you can disassemble the popsocket and put the metal plate inside with tape, and make it attach to magnetic surfaces (This only works with older version and not this one)This version can wirelessly charge if you attach it on your phone directly with no case. But the charging speed is not as fast than without popsocketAdhesive works well on all phones case surfaces I currently own. Heard from a co-worker that it didn’t work for them when they used it on items with waterproof surfacesIf you have accessories that holds the popsocket in place; I wouldn’t use the popsocket on them for at least 24 hours so it doesn’t peel itself off due to gravity during initial adhesion period.Extremely strong. Unless you intentionally use excessive force, it won’t fall off. Peeling the popsocket off can leave stains depending how long you had it on. With some cleaning tools can scrap it off without leaving much residue. Use hand sanitzer to take off the residue, better than using soup or just water.To take it off once it’s stuck on you must use fingernails (will not work if you have long nails) or a thin flat head screw driver around the circumferenceThey are durable. Aside from paint wearing off overtime, the first one I own still works like it did day 1. I’m not rough with my popsocket or phones so may want to take that under consideration (?)-Cons of the popsocket can be worked around.It adds thickness. As thick or slightly thicker than your phone without a case, making it 2x thicker at one location. If you wear tight pants/jeans, there will get a budge, especially if you put it in your back pocket.Seeing the bulge is not uniform can wobble when typing on phone on a flat surface.If you stick the popsocket on the phone directly, may interfere with some of its functionality such as wireless charging (if you have the older version). That’s why I always opt to put it on a case.Never happened to me, but my co-worker said it get snatched onto things when trying to pull it out of her purse. Maybe she has way too many stuff in there, or the fact that I always carry my phone in my pocket or dedicated pocket in my backpack.Overall, despite the negatives I find it very useful for daily tasks.
  
"
"6","PopSockets Phone Grip with Expanding Kickstand, Black","Vincent","5.0 out of 5 stars","March 11, 2024","







  
  
    I’m a big fan of popsockets. But when I switched to a MagSafe case, I couldn’t use my old ones anymore. Then I found this product! A few bad reviews, but I think those ppl had the wrong case or something because this thing is AMAZING!! Strong hold. Sturdy. Exactly what I’d expect from this brand. I have an iPhone 15 max pro and it’s able to be picked up by just the popsocket and holds like a champ! Don’t believe the bad reviews. This thing is perfect. I have a Kate spade MagSafe and works like a dream.
  
"
"7","PopSockets Phone Grip with Expanding Kickstand, Black","Vincent","5.0 out of 5 stars","April 4, 2024","







  
  
    Good quality and cute, sticks right onto any case with magsafe very strong magnet it will not fall off. Popsocket itself is smaller than the average one so it take a minute to adjust to at first but over all really good.
  
"
"8","PopSockets Phone Grip with Expanding Kickstand, Black","AAimeeD","5.0 out of 5 stars","March 30, 2024","







  
  
    The ring stuck nicely to my case. My case is not perfectly smooth but it doesn't seem to matter. The magnet seems strong. I'm happy. I have a stand type wireless charger so I need to take the popsocket off to charge phone. The metal ring stays on the case and doesn't interfere with the charging. But you do have to take the popspocket off to charge the phone.  It's nice to hold onto the popsocket and talk when I go for a long walk.  I don't think you need the metal ring to be magnetic. You just need it to be made of the right type of metal - which it is.
  
"
"9","PopSockets Phone Grip with Expanding Kickstand, Black","Ari","5.0 out of 5 stars","March 18, 2024","







  
  
    For $10 I thought (a) the adhesion would come undone, or (b) the device would break. I pop it in/out many times a day, used on my Kindle while laying on my back. Ie, the full Kindle downward gravity against the pop socket. And I read many hours a day, so this has really stood the test. I fiddle with it sometimes, popping it in and out, rotating it, and it's never ""joint health"" so to speak. I'm pretty surprised.Ok, this being my first PopSocket, I don't know if they vary in terms of depth (how long it pops out) - but as a large man, it's pretty uncomfortable to sandwich between two fingers. It splays my fingers really wide, and I think it could be bad on the knuckles over time. I've switched to holding it skip-finger: ring and index, with middle resting on the top. That's the most comfortable, but I just feel if they gave it a tad more depth it wouldn't be necessary. Either way, I think mixing it up a bunch is your best bet besides, so you'll find something that works for you.
  
"
"10","PopSockets Phone Grip with Expanding Kickstand, Black","Ari","4.0 out of 5 stars","April 4, 2024","







  
  
    I got this popsocket so have one I can remove when I stick my magsafe portable charger to the back of my phone and it works just fine for that.The only thing is when popping the socket into the extended position the sudden snap from pulling on it to open it sometimes makes it detach from my phone. Now once it is open and on my hand it stays on well I can hold it upsidedown and it stays. Now that I am aware of the issue i simply hold the base part of the popsocket when extending it so it doesnt come off so it doesnt really bother me but I can see it being frustrating for people because pulling out our phones is a reflex and I can see people in a rush potentially dropping their phone because of this so I am deducting one star for that on what is otherwise a product that does what I expected and wanted.Overall happy with the purchase.
  
"
